大场景,子场景,选项,用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,用户需求,子场景用户需求合并,,,,,,,,,,,,
,,,对爱失去信心（恐惧再次受伤）,失恋-对爱失去信心（恐惧再次受伤）,永不绝望,,,,,,,,,,,,,,
,,,未能充分处理好负面情绪而常常动摇（想要通过复合来寻求某种形式的解脱或证明）,失恋-未能充分处理好负面情绪而常常动摇（想要通过复合来寻求某种形式的解脱或证明）,不后悔,,,,,,,,,,,,,,
,,,自我防御（想要证明对方是错的）,失恋-自我防御（想要证明对方是错的）,求真、原谅,,,,,,,,,,,,,,
,,,情绪：后悔与懊恼（不甘心）,失恋-情绪：后悔与懊恼（不甘心）,不后悔,,,,,,,,,,,,,,
,,,情绪：悔恨（想要被原谅）,失恋-情绪：悔恨（想要被原谅）,认错、勇敢、净输出,,,,,,,,,,,,,,
,,,情绪：愤怒与怨恨,失恋-情绪：愤怒与怨恨,不轻易发怒,,,,,,,,,,,,,,
,,,情绪：安全感缺失,失恋-情绪：安全感缺失,自强,,,,,,,,,,,,,,
,,,情绪：孤独,失恋-情绪：孤独,独立,,,,,,,,,,,,,,
,,,情绪：迷茫（人生规划）,失恋-情绪：迷茫（人生规划）,冷静,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,失恋-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,被PUA,"处在一段艰难的亲密关系中,感情",自我价值感降低（自我怀疑）,被PUA-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,去人格化（对自己和他人冷漠或消极的态度),被PUA-去人格化（对自己和他人冷漠或消极的态度),,,,,,,,,,,,,,,
,,,情感认知障碍（无法识别什么是健康的爱）,被PUA-情感认知障碍（无法识别什么是健康的爱）,,,,,,,,,,,,,,,
,,,对关系过度理想化,被PUA-对关系过度理想化,,,,,,,,,,,,,,,
,,,过度反思自我责备,被PUA-过度反思自我责备,,,,,,,,,,,,,,,
,,,失去了独立思考和做决定的能力,被PUA-失去了独立思考和做决定的能力,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,被PUA-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,认知失调,被PUA-认知失调,,,,,,,,,,,,,,,
,,,沟通障碍（不敢尝试表达）,被PUA-沟通障碍（不敢尝试表达）,,,,,,,,,,,,,,,
,,,恐惧离开关系,被PUA-恐惧离开关系,,,,,,,,,,,,,,,
,,,情绪：无力感,被PUA-情绪：无力感,,,,,,,,,,,,,,,
,,,情绪：孤独,被PUA-情绪：孤独,,,,,,,,,,,,,,,
,,,情绪：焦虑（不够独立）,被PUA-情绪：焦虑（不够独立）,,,,,,,,,,,,,,,
,,,情绪：焦虑（生活不受控）,被PUA-情绪：焦虑（生活不受控）,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,被PUA-情绪：安全感缺失,,,,,,,,,,,,,,,
,父母反对,"处在一段艰难的亲密关系中,感情",自我怀疑（怀疑自己的眼光和判断能力）,父母反对-自我怀疑（怀疑自己的眼光和判断能力）,,,,,,,,,,,,,,,
,,,道德内疚（觉得对父母有亏欠）,父母反对-道德内疚（觉得对父母有亏欠）,,,,,,,,,,,,,,,
,,,自我防御（想要证明对方是错的）,父母反对-自我防御（想要证明对方是错的）,,,,,,,,,,,,,,,
,,,家庭冲突,父母反对-家庭冲突,,,,,,,,,,,,,,,
,,,情绪：孤独,父母反对-情绪：孤独,,,,,,,,,,,,,,,
,,,情绪：焦虑（关系进展）,父母反对-情绪：焦虑（关系进展）,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,父母反对-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：焦虑（不够独立）,父母反对-情绪：焦虑（不够独立）,,,,,,,,,,,,,,,
,异地恋,"处在一段艰难的亲密关系中,感情",沟通障碍（不敢尝试表达）,异地恋-沟通障碍（不敢尝试表达）,,,,,,,,,,,,,,,
,,,猜疑（对对方负面想象）,异地恋-猜疑（对对方负面想象）,,,,,,,,,,,,,,,
,,,冲突化解难度高,异地恋-冲突化解难度高,,,,,,,,,,,,,,,
,,,信任问题,异地恋-信任问题,,,,,,,,,,,,,,,
,,,对爱失去信心,异地恋-对爱失去信心,,,,,,,,,,,,,,,
,,,情感波动（难以抵抗新人的诱惑）,异地恋-情感波动（难以抵抗新人的诱惑）,,,,,,,,,,,,,,,
,,,悲观（觉得两人没有未来）,异地恋-悲观（觉得两人没有未来）,,,,,,,,,,,,,,,
,,,情绪：孤独,异地恋-情绪：孤独,,,,,,,,,,,,,,,
,,,情绪：焦虑（关系进展）,异地恋-情绪：焦虑（关系进展）,,,,,,,,,,,,,,,
,,,情绪：迷茫（人生规划）,异地恋-情绪：迷茫（人生规划）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,异地恋-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,异地恋-情绪：安全感缺失,,,,,,,,,,,,,,,
,经济压力,"处在一段艰难的亲密关系中,感情",社交隔离（无法开始重建社交）,经济压力-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,虚荣（觉得没钱没面子）,经济压力-虚荣（觉得没钱没面子）,,,,,,,,,,,,,,,
,,,自我价值感降低（自我怀疑）,经济压力-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,悲观（觉得两人没有未来）,经济压力-悲观（觉得两人没有未来）,,,,,,,,,,,,,,,
,,,不合理信念（觉得自己是失败者）,经济压力-不合理信念（觉得自己是失败者）,,,,,,,,,,,,,,,
,,,情绪：焦虑（关系进展）,经济压力-情绪：焦虑（关系进展）,,,,,,,,,,,,,,,
,,,情绪：迷茫（人生规划）,经济压力-情绪：迷茫（人生规划）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,经济压力-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,,,情绪：匮乏感,经济压力-情绪：匮乏感,,,,,,,,,,,,,,,
,,,情绪：内疚感（觉得自己爱很有限）,经济压力-情绪：内疚感（觉得自己爱很有限）,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,经济压力-情绪：安全感缺失,,,,,,,,,,,,,,,
,不会爱与被爱,"处在一段艰难的亲密关系中,感情",占有欲,不会爱与被爱-占有欲,,,,,,,,,,,,,,,
,,,权力欲,不会爱与被爱-权力欲,,,,,,,,,,,,,,,
,,,无意识侵犯对方自主权（包办/强制放债/爹味）,不会爱与被爱-无意识侵犯对方自主权（包办/强制放债/爹味）,,,,,,,,,,,,,,,
,,,沟通障碍,不会爱与被爱-沟通障碍,,,,,,,,,,,,,,,
,,,猜疑（对对方负面想象）,不会爱与被爱-猜疑（对对方负面想象）,,,,,,,,,,,,,,,
,,,情感认知障碍（无法识别什么是健康的爱）,不会爱与被爱-情感认知障碍（无法识别什么是健康的爱）,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,不会爱与被爱-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,缺乏珍惜的能力,不会爱与被爱-缺乏珍惜的能力,,,,,,,,,,,,,,,
,,,恐惧离开关系,不会爱与被爱-恐惧离开关系,,,,,,,,,,,,,,,
,,,情绪：焦虑（关系进展）,不会爱与被爱-情绪：焦虑（关系进展）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,不会爱与被爱-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,暗恋,"有点辛苦的暗恋,感情",自卑,暗恋-自卑,,,,,,,,,,,,,,,
,,,社交退缩,暗恋-社交退缩,,,,,,,,,,,,,,,
,,,理想化对方,暗恋-理想化对方,,,,,,,,,,,,,,,
,,,情感压抑,暗恋-情感压抑,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,暗恋-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：焦虑（被拒绝）,暗恋-情绪：焦虑（被拒绝）,,,,,,,,,,,,,,,
,,,情绪：焦虑（表白后果）,暗恋-情绪：焦虑（表白后果）,,,,,,,,,,,,,,,
,,,情绪：焦虑（自己误解了对方的信号）,暗恋-情绪：焦虑（自己误解了对方的信号）,,,,,,,,,,,,,,,
自我认知,低自尊（长期自卑）,自己,自我价值感降低（自我怀疑）,低自尊（长期自卑）-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,身材焦虑,低自尊（长期自卑）-身材焦虑,,,,,,,,,,,,,,,
,,,容貌焦虑,低自尊（长期自卑）-容貌焦虑,,,,,,,,,,,,,,,
,,,性焦虑,低自尊（长期自卑）-性焦虑,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,低自尊（长期自卑）-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,低自尊（长期自卑）-社交退缩,,,,,,,,,,,,,,,
,,,外部依赖,低自尊（长期自卑）-外部依赖,,,,,,,,,,,,,,,
,,,决策困难,低自尊（长期自卑）-决策困难,,,,,,,,,,,,,,,
,,,过度妥协（讨好）,低自尊（长期自卑）-过度妥协（讨好）,,,,,,,,,,,,,,,
,,,受辱敏感,低自尊（长期自卑）-受辱敏感,,,,,,,,,,,,,,,
,,,情绪：焦虑（不够独立）,低自尊（长期自卑）-情绪：焦虑（不够独立）,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,低自尊（长期自卑）-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：焦虑（学历）,低自尊（长期自卑）-情绪：焦虑（学历）,,,,,,,,,,,,,,,
,,,情绪：焦虑（职业发展）,低自尊（长期自卑）-情绪：焦虑（职业发展）,,,,,,,,,,,,,,,
,安全感缺失,自己,自我价值感降低（自我怀疑）,安全感缺失-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,情绪波动,安全感缺失-情绪波动,,,,,,,,,,,,,,,
,,,外部依赖,安全感缺失-外部依赖,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,安全感缺失-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,安全感缺失-社交退缩,,,,,,,,,,,,,,,
,,,受辱敏感,安全感缺失-受辱敏感,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,安全感缺失-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,情绪：孤独,安全感缺失-情绪：孤独,,,,,,,,,,,,,,,
,,,情绪：焦虑（不够独立）,安全感缺失-情绪：焦虑（不够独立）,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,安全感缺失-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：迷茫（人生规划）,安全感缺失-情绪：迷茫（人生规划）,,,,,,,,,,,,,,,
,完美主义,自己,强迫症,完美主义-强迫症,,,,,,,,,,,,,,,
,,,自我中心（自恋、自负，过渡关注自我需要，缺乏对他人的关注）,完美主义-自我中心（自恋、自负，过渡关注自我需要，缺乏对他人的关注）,,,,,,,,,,,,,,,
,,,自我价值感降低（自我怀疑）,完美主义-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,拖延交付,完美主义-拖延交付,,,,,,,,,,,,,,,
,,,社交退缩,完美主义-社交退缩,,,,,,,,,,,,,,,
,,,过劳,完美主义-过劳,,,,,,,,,,,,,,,
,,,对旁人和环境苛刻,完美主义-对旁人和环境苛刻,,,,,,,,,,,,,,,
,,,情绪：焦虑（犯错失败）,完美主义-情绪：焦虑（犯错失败）,,,,,,,,,,,,,,,
,,,情绪：焦虑（达不到他人期待）,完美主义-情绪：焦虑（达不到他人期待）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,完美主义-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,内耗（个体内部矛盾、冲突或斗争）,自己,自我价值感降低（自我怀疑）,内耗（个体内部矛盾、冲突或斗争）-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,拖延决策,内耗（个体内部矛盾、冲突或斗争）-拖延决策,,,,,,,,,,,,,,,
,,,决策困难,内耗（个体内部矛盾、冲突或斗争）-决策困难,,,,,,,,,,,,,,,
,,,情绪波动,内耗（个体内部矛盾、冲突或斗争）-情绪波动,,,,,,,,,,,,,,,
,,,社交退缩,内耗（个体内部矛盾、冲突或斗争）-社交退缩,,,,,,,,,,,,,,,
,,,受辱敏感,内耗（个体内部矛盾、冲突或斗争）-受辱敏感,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,内耗（个体内部矛盾、冲突或斗争）-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,内向,自己,社交隔离（无法开始重建社交）,内向-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,内向-社交退缩,,,,,,,,,,,,,,,
,,,自我价值感降低（自我怀疑）,内向-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,情绪波动,内向-情绪波动,,,,,,,,,,,,,,,
,,,情感压抑,内向-情感压抑,,,,,,,,,,,,,,,
,,,适应困难,内向-适应困难,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,内向-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：孤独,内向-情绪：孤独,对人类这一伟大的上帝的作品的深刻认知,,,,,,,,,,,,,,
,敏感,自己,自我价值感降低（自我怀疑）,敏感-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,情绪波动,敏感-情绪波动,,,,,,,,,,,,,,,
,,,适应困难,敏感-适应困难,,,,,,,,,,,,,,,
,,,受辱敏感,敏感-受辱敏感,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,敏感-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,敏感-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,身份认同困惑,自己,自我价值感降低（自我怀疑）,身份认同困惑-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,不合理信念（觉得自己不正常）,身份认同困惑-不合理信念（觉得自己不正常）,,,,,,,,,,,,,,,
,,,家庭冲突,身份认同困惑-家庭冲突,,,,,,,,,,,,,,,
,,,身材焦虑,身份认同困惑-身材焦虑,,,,,,,,,,,,,,,
,,,容貌焦虑,身份认同困惑-容貌焦虑,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,身份认同困惑-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,身份认同困惑-社交退缩,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,身份认同困惑-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,身份认同困惑-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,,,情绪：焦虑（职业发展）,身份认同困惑-情绪：焦虑（职业发展）,,,,,,,,,,,,,,,
情绪,压力与焦虑,"不好,糟糕",情绪波动,压力与焦虑-情绪波动,,,,,,,,,,,,,,,
,,,自我价值感降低（自我怀疑）,压力与焦虑-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,压力与焦虑-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,注意力涣散,压力与焦虑-注意力涣散,,,,,,,,,,,,,,,
,,,记忆力减退,压力与焦虑-记忆力减退,,,,,,,,,,,,,,,
,,,决策困难,压力与焦虑-决策困难,,,,,,,,,,,,,,,
,,,回避交流,压力与焦虑-回避交流,,,,,,,,,,,,,,,
,,,睡眠障碍,压力与焦虑-睡眠障碍,,,,,,,,,,,,,,,
,,,过劳,压力与焦虑-过劳,,,,,,,,,,,,,,,
,,,情绪：迷茫（人生规划）,压力与焦虑-情绪：迷茫（人生规划）,,,,,,,,,,,,,,,
,,,情绪：无助感,压力与焦虑-情绪：无助感,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,压力与焦虑-情绪：安全感缺失,,,,,,,,,,,,,,,
,愤怒与怨恨,"不好,糟糕",情绪波动,愤怒与怨恨-情绪波动,,,,,,,,,,,,,,,
,,,受辱敏感,愤怒与怨恨-受辱敏感,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,愤怒与怨恨-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,记忆闪回,愤怒与怨恨-记忆闪回,,,,,,,,,,,,,,,
,,,攻击性行为,愤怒与怨恨-攻击性行为,,,,,,,,,,,,,,,
,,,冲突转移,愤怒与怨恨-冲突转移,,,,,,,,,,,,,,,
,,,回避交流,愤怒与怨恨-回避交流,,,,,,,,,,,,,,,
,,,睡眠障碍,愤怒与怨恨-睡眠障碍,,,,,,,,,,,,,,,
,,,情绪：愤怒与怨恨,愤怒与怨恨-情绪：愤怒与怨恨,,,,,,,,,,,,,,,
,,,情绪：后悔与懊恼（不甘心）,愤怒与怨恨-情绪：后悔与懊恼（不甘心）,,,,,,,,,,,,,,,
,,,情绪：焦虑（生活不受控）,愤怒与怨恨-情绪：焦虑（生活不受控）,,,,,,,,,,,,,,,
,抑郁,糟糕,注意力涣散,抑郁-注意力涣散,,,,,,,,,,,,,,,
,,,记忆力减退,抑郁-记忆力减退,,,,,,,,,,,,,,,
,,,决策困难,抑郁-决策困难,,,,,,,,,,,,,,,
,,,自我价值感降低（自我怀疑）,抑郁-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,抑郁-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,否认或解离,抑郁-否认或解离,,,,,,,,,,,,,,,
,,,回避交流,抑郁-回避交流,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,抑郁-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,抑郁-社交退缩,,,,,,,,,,,,,,,
,,,情感麻木,抑郁-情感麻木,,,,,,,,,,,,,,,
,,,生活功能下降,抑郁-生活功能下降,,,,,,,,,,,,,,,
,,,欲望降低,抑郁-欲望降低,,,,,,,,,,,,,,,
,,,悲观,抑郁-悲观,,,,,,,,,,,,,,,
,,,认知失调,抑郁-认知失调,,,,,,,,,,,,,,,
,,,不合理信念（觉得自己是失败者）,抑郁-不合理信念（觉得自己是失败者）,,,,,,,,,,,,,,,
,,,不合理信念（宿命论）,抑郁-不合理信念（宿命论）,,,,,,,,,,,,,,,
,,,睡眠障碍,抑郁-睡眠障碍,,,,,,,,,,,,,,,
,,,药物依赖,抑郁-药物依赖,,,,,,,,,,,,,,,
,,,消极行为（熬夜酗酒吸烟不健康饮食）,抑郁-消极行为（熬夜酗酒吸烟不健康饮食）,,,,,,,,,,,,,,,
,,,自毁冲动,抑郁-自毁冲动,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,抑郁-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：悲伤,抑郁-情绪：悲伤,,,,,,,,,,,,,,,
,,,情绪：空虚,抑郁-情绪：空虚,,,,,,,,,,,,,,,
,,,情绪：无意义感,抑郁-情绪：无意义感,,,,,,,,,,,,,,,
人际问题,家人关系不和,家庭,自我价值感降低（自我怀疑）,家人关系不和-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,情感压抑,家人关系不和-情感压抑,,,,,,,,,,,,,,,
,,,沟通障碍,家人关系不和-沟通障碍,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,家人关系不和-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,攻击性行为,家人关系不和-攻击性行为,,,,,,,,,,,,,,,
,,,回避交流,家人关系不和-回避交流,,,,,,,,,,,,,,,
,,,认知混乱（无法诠释自己和家人的关系）,家人关系不和-认知混乱（无法诠释自己和家人的关系）,,,,,,,,,,,,,,,
,,,角色混淆（如孩子过早承担成人责任）,家人关系不和-角色混淆（如孩子过早承担成人责任）,,,,,,,,,,,,,,,
,,,不合理信念（认为自己是问题的原因）,家人关系不和-不合理信念（认为自己是问题的原因）,,,,,,,,,,,,,,,
,,,社交退缩,家人关系不和-社交退缩,,,,,,,,,,,,,,,
,,,猜疑（对对方负面想象）,家人关系不和-猜疑（对对方负面想象）,,,,,,,,,,,,,,,
,,,过度依赖外界,家人关系不和-过度依赖外界,,,,,,,,,,,,,,,
,,,代际传递,家人关系不和-代际传递,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,家人关系不和-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：孤立感,家人关系不和-情绪：孤立感,,,,,,,,,,,,,,,
,,,情绪：焦虑（达不到他人期待）,家人关系不和-情绪：焦虑（达不到他人期待）,,,,,,,,,,,,,,,
,,,情绪：焦虑（生活不受控）,家人关系不和-情绪：焦虑（生活不受控）,,,,,,,,,,,,,,,
,,,情绪：焦虑（不够独立）,家人关系不和-情绪：焦虑（不够独立）,,,,,,,,,,,,,,,
,,,情绪：愤怒与怨恨（自主性被侵犯）,家人关系不和-情绪：愤怒与怨恨（自主性被侵犯）,,,,,,,,,,,,,,,
,友情障碍,朋友,自我价值感降低（自我怀疑）,友情障碍-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,社交退缩,友情障碍-社交退缩,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,友情障碍-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,沟通障碍（不敢尝试表达）,友情障碍-沟通障碍（不敢尝试表达）,,,,,,,,,,,,,,,
,,,猜疑（对对方负面想象）,友情障碍-猜疑（对对方负面想象）,,,,,,,,,,,,,,,
,,,信任问题,友情障碍-信任问题,,,,,,,,,,,,,,,
,,,去人格化（对他人冷漠或消极的态度),友情障碍-去人格化（对他人冷漠或消极的态度),,,,,,,,,,,,,,,
,,,受辱敏感,友情障碍-受辱敏感,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,友情障碍-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：孤立感,友情障碍-情绪：孤立感,,,,,,,,,,,,,,,
,职场人际,工作,自我价值感降低（自我怀疑）,职场人际-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,缺乏感恩的能力,职场人际-缺乏感恩的能力,,,,,,,,,,,,,,,
,,,情感麻木,职场人际-情感麻木,,,,,,,,,,,,,,,
,,,猜疑（对对方负面想象）,职场人际-猜疑（对对方负面想象）,,,,,,,,,,,,,,,
,,,去人格化（对他人冷漠或消极的态度),职场人际-去人格化（对他人冷漠或消极的态度),,,,,,,,,,,,,,,
,,,受辱敏感,职场人际-受辱敏感,,,,,,,,,,,,,,,
,,,情绪：孤立感,职场人际-情绪：孤立感,,,,,,,,,,,,,,,
,,,情绪：无助感,职场人际-情绪：无助感,,,,,,,,,,,,,,,
,,,情绪：愤怒与怨恨,职场人际-情绪：愤怒与怨恨,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,职场人际-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,职场人际-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,,,情绪：焦虑（职业发展）,职场人际-情绪：焦虑（职业发展）,,,,,,,,,,,,,,,
,同辈竞争,"朋友,工作,学业,自己",自我价值感降低（自我怀疑）,同辈竞争-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,消极比较,同辈竞争-消极比较,,,,,,,,,,,,,,,
,,,情绪波动,同辈竞争-情绪波动,,,,,,,,,,,,,,,
,,,情绪：孤立感,同辈竞争-情绪：孤立感,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,同辈竞争-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,,,情绪：焦虑（外部评价）,同辈竞争-情绪：焦虑（外部评价）,,,,,,,,,,,,,,,
,,,情绪：焦虑（未来发展）,同辈竞争-情绪：焦虑（未来发展）,,,,,,,,,,,,,,,
,社交焦虑社交恐惧,"朋友,自己",自我价值感降低（自我怀疑）,社交焦虑社交恐惧-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,容貌焦虑,社交焦虑社交恐惧-容貌焦虑,,,,,,,,,,,,,,,
,,,身材焦虑,社交焦虑社交恐惧-身材焦虑,,,,,,,,,,,,,,,
,,,社交退缩,社交焦虑社交恐惧-社交退缩,,,,,,,,,,,,,,,
,,,虚拟世界依赖,社交焦虑社交恐惧-虚拟世界依赖,,,,,,,,,,,,,,,
,,,沟通障碍（不敢尝试表达）,社交焦虑社交恐惧-沟通障碍（不敢尝试表达）,,,,,,,,,,,,,,,
,,,受辱敏感,社交焦虑社交恐惧-受辱敏感,,,,,,,,,,,,,,,
,,,对人失去信心（恐惧再次受伤）,社交焦虑社交恐惧-对人失去信心（恐惧再次受伤）,,,,,,,,,,,,,,,
,,,情绪：安全感缺失,社交焦虑社交恐惧-情绪：安全感缺失,,,,,,,,,,,,,,,
,,,情绪：孤立感,社交焦虑社交恐惧-情绪：孤立感,,,,,,,,,,,,,,,
,,,情绪：焦虑（人际关系）,社交焦虑社交恐惧-情绪：焦虑（人际关系）,,,,,,,,,,,,,,,
,被歧视,自己,自我价值感降低（自我怀疑）,被歧视-自我价值感降低（自我怀疑）,,,,,,,,,,,,,,,
,,,社交隔离（无法开始重建社交）,被歧视-社交隔离（无法开始重建社交）,,,,,,,,,,,,,,,
,,,社交退缩,被歧视-社交退缩,,,,,,,,,,,,,,,
,,,认知失调,被歧视-认知失调,,,,,,,,,,,,,,,
,,,不合理信念（觉得自己不正常）,被歧视-不合理信念（觉得自己不正常）,,,,,,,,,,,,,,,
,,,受辱敏感,被歧视-受辱敏感,,,,,,,,,,,,,,,
,,,悲观,被歧视-悲观,,,,,,,,,,,,,,,
,,,情绪：无助感,被歧视-情绪：无助感,,,,,,,,,,,,,,,
