用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,自我肯定语,zhihu_link
情绪：愤怒与怨恨,,用户1级需求： 用户2级需求：,在这片静谧的自我领域中，我将愤怒和怨恨的暴风云编织成理解与接纳的彩虹。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/487861949/answer/2511453315
情绪：愤怒与怨恨,,用户1级需求： 用户2级需求：,我的愤怒和怨恨渐渐平息，我学会了如何在情绪的浪潮中稳住自己的船帆，驶向更宽广的世界。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/487861949/answer/2511453315
情感波动（难以抵抗新人的诱惑）,,用户1级需求： 用户2级需求：,在我内心深处，我对自己的选择忠诚有守住，是我心智成熟的见证。,https://www.zhihu.com/pin/1363287978576502784 
情感波动（难以抵抗新人的诱惑）,,用户1级需求： 用户2级需求：,新的诱惑如风中柳絮般轻轻飘过，而我会用自控力的铅球稳稳压下。,https://www.zhihu.com/pin/1363287978576502784 
情感波动（难以抵抗新人的诱惑）,,用户1级需求： 用户2级需求：,内心真正的宁静比外界瞬息万变的风景更让我着迷。,https://www.zhihu.com/pin/1363287978576502784 
缺乏感恩的能力,,用户1级需求： 用户2级需求：,我在平凡的日常中寻找不平凡，感恩生活给予我的一切。,https://www.zhihu.com/pin/1511879502506004480 https://www.zhihu.com/question/27249939/answer/2117610025
缺乏感恩的能力,,用户1级需求： 用户2级需求：,我学会在每一片落叶中发现秋天的美，感恩每一天不同的风景。,https://www.zhihu.com/pin/1511879502506004480 https://www.zhihu.com/question/27249939/answer/2117610025
缺乏感恩的能力,,用户1级需求： 用户2级需求：,我用感恩的心环抱每一个瞬间，让温暖在人与人之间流动。,https://www.zhihu.com/pin/1511879502506004480 https://www.zhihu.com/question/27249939/answer/2117610025
缺乏感恩的能力,,用户1级需求： 用户2级需求：,我感恩，因为那些无言的付出让我看见存在的意义。,https://www.zhihu.com/pin/1511879502506004480 https://www.zhihu.com/question/27249939/answer/2117610025
缺乏感恩的能力,,用户1级需求： 用户2级需求：,我感激每天的朝阳，它是新的一天，也是新的感恩开始的标志。,https://www.zhihu.com/pin/1511879502506004480 https://www.zhihu.com/question/27249939/answer/2117610025
信任问题,,用户1级需求： 用户2级需求：,我发现，我的信任不在别人手中，而是在我心灵的底色里。,https://www.zhihu.com/pin/1525750075297361920 https://www.zhihu.com/question/363236770/answer/953645561
信任问题,,用户1级需求： 用户2级需求：,我慢慢学会了，信任像是建在我自己心中的城堡。,https://www.zhihu.com/pin/1525750075297361920 https://www.zhihu.com/question/363236770/answer/953645561
信任问题,,用户1级需求： 用户2级需求：,我深信，信任是我心脏跳动的节奏，它来自我自己。,https://www.zhihu.com/pin/1525750075297361920 https://www.zhihu.com/question/363236770/answer/953645561
信任问题,,用户1级需求： 用户2级需求：,信任的根基，在我深深的自信与坚定之中，它稳如磐石。,https://www.zhihu.com/pin/1525750075297361920 https://www.zhihu.com/question/363236770/answer/953645561
信任问题,,用户1级需求： 用户2级需求：,信任他人的同时，也信任自己，这是一种成长的步履，也是对自己认识的深刻。,https://www.zhihu.com/pin/1525750075297361920 https://www.zhihu.com/question/363236770/answer/953645561
拖延求职,,用户1级需求： 用户2级需求：,我像穿越人海的浪，每一秒都向希望的岸边靠近，不拖延，不回头。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,我让心灵的土地播撒梦想的种子，在行动的土地上，它们正迅猛生长。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,我揭开未知的幕布，迎着风浪开始舞动，不因未来的不确定性而迟疑。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,我抛弃瞻前顾后的空想，让行动的脚步欢快跳跃，向着亮光出发。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,我不设限的人生，是面对每一步挑战的勇气和果敢。,https://www.zhihu.com/question/453104891/answer/1936517629
猜疑（对对方负面想象）,,用户1级需求： 用户2级需求：,我心中的猜疑像一层浓雾，遮蔽了现实的真实与明亮，我需要勇气去驱散它。,https://www.zhihu.com/pin/1311740059579236352 https://www.zhihu.com/question/537845427/answer/2532609297
猜疑（对对方负面想象）,,用户1级需求： 用户2级需求：,我的猜疑，是情感的迷宫，我需要找到出口，让真心话成为指南。,https://www.zhihu.com/pin/1311740059579236352 https://www.zhihu.com/question/537845427/answer/2532609297
猜疑（对对方负面想象）,,用户1级需求： 用户2级需求：,信任与猜疑，一如光明与黑暗，我选择向光明而行，不让自己迷失在猜疑的黑影里。,https://www.zhihu.com/pin/1311740059579236352 https://www.zhihu.com/question/537845427/answer/2532609297
猜疑（对对方负面想象）,,用户1级需求： 用户2级需求：,我愿意与TA共同努力，通过交流消除误解，加深我们之间的联系。,https://www.zhihu.com/pin/1311740059579236352 https://www.zhihu.com/question/537845427/answer/2532609297
猜疑（对对方负面想象）,,用户1级需求： 用户2级需求：,我选择打开心扉，不在猜疑中徘徊，用真诚的话语创造更多的理解和联结。,https://www.zhihu.com/pin/1311740059579236352 https://www.zhihu.com/question/537845427/answer/2532609297
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我在阴影中苏醒，挣脱那不合理的枷锁，每一次成果都将光芒四射。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我的脚步不因昨日的汗水而停歇，每一步都踏出了成功的火花。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,成功只是下一个微笑，我日复一日地走在这条道路上。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我卸下那顶沉重的帽子，从失败者变为征服者。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,在我心的镜头里，每一道阳光都能透过客观的缝隙，为我指明方向。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/357978609/answer/2232623516
情绪：焦虑（外部评价）,,用户1级需求： 用户2级需求：,他人的目光如同一层层波浪，冲击着我的内心码头，但它们终将远去，留下我不曾动摇的坚定。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/302561314/answer/1879241996
情绪：焦虑（外部评价）,,用户1级需求： 用户2级需求：,这股焦虑，如同暴烈的风在我心海掀起波澜，但我明白，风终将会停歇。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/302561314/answer/1879241996
情绪：焦虑（外部评价）,,用户1级需求： 用户2级需求：,我与自己的握手言和，是我战胜内心的战争的号角。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/302561314/answer/1879241996
情绪：焦虑（外部评价）,,用户1级需求： 用户2级需求：,我所站立的地方，是我自己的色彩，没有任何人能让它褪色。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/302561314/answer/1879241996
情绪：焦虑（外部评价）,,用户1级需求： 用户2级需求：,我的价值如星辰般闪烁，不会因为他人的评说而黯淡。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/302561314/answer/1879241996
适应困难,,用户1级需求： 用户2级需求：,改变像一朵缓缓绽放的花，我耐心地等待，等待着它带我走向新的道路。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/379797015/answer/2793932552
适应困难,,用户1级需求： 用户2级需求：,即使停滞不前的是我的脚步，但我的心灵总是追逐着成长的风暴。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/379797015/answer/2793932552
适应困难,,用户1级需求： 用户2级需求：,每一次新环境的挑战都是成长的火种，我在其中点燃自己的潜能。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/379797015/answer/2793932552
适应困难,,用户1级需求： 用户2级需求：,困难之中，我筑起新的堡垒，每一个挑战都让我更加强大。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/379797015/answer/2793932552
适应困难,,用户1级需求： 用户2级需求：,在适应的旅途中，我不仅没有迷失，反而找到了一个全新的自我。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/379797015/answer/2793932552
拖延求职,,用户1级需求： 用户2级需求：,即使步伐微小，我亦能感受到每一次接近梦想的喜悦。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,虽然勇气伴随着恐惧，但我知道，我终将抵达自己的星辰大海。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,面对职业之旅的起伏，我承诺不断学习，不断超越。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,每一个求职的障碍，都是我开启新世界的钥匙。,https://www.zhihu.com/question/453104891/answer/1936517629
拖延求职,,用户1级需求： 用户2级需求：,我把控求职的节奏，内心的坚定成为我向前的灯塔。,https://www.zhihu.com/question/453104891/answer/1936517629
睡眠障碍,,用户1级需求： 用户2级需求：,我在漫长的夜里行走，心中却有晨曦的呼唤，等待明天的来临。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,每个黎明的到来，都是我灵魂重生的象征。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,焦虑是明日之鸟的呻吟，它不会占据今夜的宁静巢穴。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,我相信每一个夜晚都是我的休息之所，相信我能在星辉下安然入梦。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
睡眠障碍,,用户1级需求： 用户2级需求：,这夜晚的宁静属于我，星光是我心灵的慰藉。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
情绪：焦虑（学历）,,用户1级需求： 用户2级需求：,学历，它是书本上的标记，是我走出校园后辽阔天空中早已丢失的标签。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/53725884/answer/1776584998
情绪：焦虑（学历）,,用户1级需求： 用户2级需求：,焦虑是个小偷，我将紧紧抓住我能够改变的事物，让它空手而归。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/53725884/answer/1776584998
情绪：焦虑（学历）,,用户1级需求： 用户2级需求：,我的内心深处，有一片无需他人评价的圣地，那里铺满了我独有的价值。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/53725884/answer/1776584998
情绪：焦虑（学历）,,用户1级需求： 用户2级需求：,我的荣耀不在纸上，它默默地存在于那些我为之奋斗的日夜和汗水中。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/53725884/answer/1776584998
情绪：焦虑（学历）,,用户1级需求： 用户2级需求：,自己为自己立法，即使世界对我的定义模糊不清，我还是在自我认知里清晰无比。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/53725884/answer/1776584998
受辱敏感,,用户1级需求： 用户2级需求：,在人世间，他们的评价已不再能左右我的情绪，我铸就了自我价值，内心如岩石般坚硬。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/283907809/answer/1865331346
受辱敏感,,用户1级需求： 用户2级需求：,我不需用他人的标准来衡量自己的感受，我的心能触摸到世界的每一寸细腻。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/283907809/answer/1865331346
受辱敏感,,用户1级需求： 用户2级需求：,尊严，像我的影子，随我而行，由我而生，不假外求。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/283907809/answer/1865331346
受辱敏感,,用户1级需求： 用户2级需求：,侮辱像一阵风，我站在山顶，它吹过我的身体，带不走一丝我的自重与自信。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/283907809/answer/1865331346
受辱敏感,,用户1级需求： 用户2级需求：,从今往后，那些言语再也不是绊脚石，而是指引我前行的明灯。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/283907809/answer/1865331346
不合理信念（觉得自己不正常）,,用户1级需求： 用户2级需求：,我独特而宝贵，与众不同并不意味着不寻常。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/333162231/answer/2636928906
不合理信念（觉得自己不正常）,,用户1级需求： 用户2级需求：,我不需要与别人比较，我就是我，带着我的瑕疵和光辉。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/333162231/answer/2636928906
不合理信念（觉得自己不正常）,,用户1级需求： 用户2级需求：,我的独特性是我力量的源泉，我不因他人的标准而动摇。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/333162231/answer/2636928906
不合理信念（觉得自己是失败者）,,用户1级需求： 用户2级需求：,成功之路如蜿蜒的河流，曲折但终会流向大海，我是那条奔向海洋的河流。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/467177561/answer/1973584591
不合理信念（觉得自己是失败者）,,用户1级需求： 用户2级需求：,在我跌倒的地方，正是我扎根成长的土壤。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/467177561/answer/1973584591
不合理信念（觉得自己是失败者）,,用户1级需求： 用户2级需求：,我不曾失败，在未达终点前，一切只是过程中的试探。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/467177561/answer/1973584591
不合理信念（觉得自己是失败者）,,用户1级需求： 用户2级需求：,每个人的成功都有其节奏，我的时刻即将到来。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/467177561/answer/1973584591
不合理信念（觉得自己是失败者）,,用户1级需求： 用户2级需求：,我不以失败者自居，因为我的勇气未曾熄灭。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/467177561/answer/1973584591
社交退缩,,用户1级需求： 用户2级需求：,我的社交退缩像冬日里的一阵寒风，但勇气会像春风般温暖它。,https://www.zhihu.com/question/23900793/answer/778043770 https://www.zhihu.com/question/491892975/answer/2166518347
社交退缩,,用户1级需求： 用户2级需求：,我在人群中寻找，像是寻找一把能打开心扉的钥匙，那份归属感终将战胜孤独。,https://www.zhihu.com/question/23900793/answer/778043770 https://www.zhihu.com/question/491892975/answer/2166518347
社交退缩,,用户1级需求： 用户2级需求：,勇敢，对我来说，是即使害怕也要抬头面对初升的太阳。,https://www.zhihu.com/question/23900793/answer/778043770 https://www.zhihu.com/question/491892975/answer/2166518347
社交退缩,,用户1级需求： 用户2级需求：,参与社交活动，让我像海里的一滴水回归到浩瀚的海洋。,https://www.zhihu.com/question/23900793/answer/778043770 https://www.zhihu.com/question/491892975/answer/2166518347
社交退缩,,用户1级需求： 用户2级需求：,社会上的每一次微笑和握手，都值得我珍惜和拥抱。,https://www.zhihu.com/question/23900793/answer/778043770 https://www.zhihu.com/question/491892975/answer/2166518347
容貌焦虑,,用户1级需求： 用户2级需求：,我不再让镜中的自己成为唯一的裁判，我的才华和精神才是我佩戴在胸前的勋章。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/21059033/answer/1778974150
容貌焦虑,,用户1级需求： 用户2级需求：,我的美丽深藏于我的自信之中，它不依赖于他人的目光，而是源于我内心的火光。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/21059033/answer/1778974150
容貌焦虑,,用户1级需求： 用户2级需求：,他人的目光不再定义我，我的价值如青山绿水，自有其高远和深邃。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/21059033/answer/1778974150
容貌焦虑,,用户1级需求： 用户2级需求：,我拥抱我的不完美，因为我知道，在这世间，完美只存在于梦想和诗篇。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/21059033/answer/1778974150
容貌焦虑,,用户1级需求： 用户2级需求：,我自信地行走在这条自己定义的道路上，我的心告诉我，我的旅程不受容貌限制。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/21059033/answer/1778974150
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我用忙碌填满时间，却发现自己像一只困在笼子里的鸟，越飞越孤独。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/question/22608645/answer/776241381
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,创造价值是我与这个世界对话的方式，每一件作品都是一次联结。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/question/22608645/answer/776241381
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,孤独像一把钝刀，割不开我与他人之间的隔阂，却让我疼得清醒。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/question/22608645/answer/776241381
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我的双手在创造，我的心灵在联结，即使独自一人，我也不再孤单。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/question/22608645/answer/776241381
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我看到自己的努力像种子一样，在别人的生活中生根发芽。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/question/22608645/answer/776241381
风险感知迟钝,,用户1级需求： 用户2级需求：,我在感知风险的路上，似乎总是慢了一步，正是这份迟滞，给予了我更深刻的自省和成长。,https://www.zhihu.com/pin/1739637083864641536 https://www.zhihu.com/question/573030089/answer/2811105272
风险感知迟钝,,用户1级需求： 用户2级需求：,我认识到，体察风险的能力如同黑夜中的灯塔，照亮了前行的道路。,https://www.zhihu.com/pin/1739637083864641536 https://www.zhihu.com/question/573030089/answer/2811105272
风险感知迟钝,,用户1级需求： 用户2级需求：,我学会未雨绸缪，提前准备为日常的旋律谱写安全与宁静的篇章。,https://www.zhihu.com/pin/1739637083864641536 https://www.zhihu.com/question/573030089/answer/2811105272
风险感知迟钝,,用户1级需求： 用户2级需求：,我坚信，即使是最平凡的选择，也蕴含着对未来的深远影响。,https://www.zhihu.com/pin/1739637083864641536 https://www.zhihu.com/question/573030089/answer/2811105272
风险感知迟钝,,用户1级需求： 用户2级需求：,我学会了如何在风险的风浪中保持冷静，这是我与它们对峙的法宝。,https://www.zhihu.com/pin/1739637083864641536 https://www.zhihu.com/question/573030089/answer/2811105272
认知失调,,用户1级需求： 用户2级需求：,我在信仰与现实之间徘徊，其中的痛苦只是暂时的 sunny day。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,面对问题，我选择战斗，而非逃避，正如我的意志之火永不熄灭。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,调整内心的信念，改变外在的行为，我都有足够的力量去平衡这生活的天平。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,审视和修正，是我前行的工具，我用他们在信念与行为之间找到平衡。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
认知失调,,用户1级需求： 用户2级需求：,勇敢面对内心的失调，寻找解决之道，这是我的选择，也是我力量的源泉。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/432246724/answer/2169563558
情绪：愤怒与怨恨（自主性被侵犯）,,用户1级需求： 用户2级需求：,我的愤怒如同深沉的夜色，在世间的每一次侵犯中发出自己的声音。,https://www.zhihu.com/pin/1354552729591803904 https://www.zhihu.com/question/585002834/answer/2904894963
情绪：愤怒与怨恨（自主性被侵犯）,,用户1级需求： 用户2级需求：,在边界的线上，我种下一株敬畏之花，它赋予我释放愤怒的力量。,https://www.zhihu.com/pin/1354552729591803904 https://www.zhihu.com/question/585002834/answer/2904894963
情绪：愤怒与怨恨（自主性被侵犯）,,用户1级需求： 用户2级需求：,我倾听内心深处的风暴，它告诉我需要做出的改变。,https://www.zhihu.com/pin/1354552729591803904 https://www.zhihu.com/question/585002834/answer/2904894963
情绪：愤怒与怨恨（自主性被侵犯）,,用户1级需求： 用户2级需求：,我的愤怒如暴风雨中的风帆，尽管剧烈，却也是导航的一部分。,https://www.zhihu.com/pin/1354552729591803904 https://www.zhihu.com/question/585002834/answer/2904894963
情绪：愤怒与怨恨（自主性被侵犯）,,用户1级需求： 用户2级需求：,哪怕是怨恨的影子掠过，我也不会让它将我淹没，因为我懂得阳光总是在风雨后。,https://www.zhihu.com/pin/1354552729591803904 https://www.zhihu.com/question/585002834/answer/2904894963
社交隔离（无法开始重建社交）,,用户1级需求： 用户2级需求：,即使社交的灯火熄灭，我依然像一盏孤独的灯塔，在夜里独自照亮。,https://www.zhihu.com/pin/1233544502192680960 https://www.zhihu.com/question/521749945/answer/2418263834
