用户问题/症状,用户1级需求,用户2级需求
认知失调,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
风险感知迟钝,承认并接受自己的风险感知迟钝,鼓励自己提高风险感知能力
自毁冲动,承认并接受自己的自毁冲动,鼓励自己寻找替代行为，减少自毁冲动
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
情绪：焦虑（不够独立）,承认并接受自己不够独立,鼓励自己提高独立性，增强自信
过度研究,承认并接受自己的过度研究,鼓励自己减少过度研究，增强行动力
缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西
缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西
冲突转移,承认自己有时转移冲突,鼓励自己寻找解决冲突的方法
自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
过劳,承认并接受自己过劳,鼓励自己寻找工作与生活的平衡
悲观,承认并接受自己的悲观情绪,鼓励自己冷静理性，重拾生活的信心
情感麻木,承认并接受自己的情感麻木,鼓励自己关注、倾听并表达自己的内心情感
回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
情绪：内疚感（觉得自己爱很有限）,承认并接受自己的内疚感,鼓励自己重新评估爱的能力，增强自信
去人格化（对自己冷漠或消极的态度),承认自己对自己关怀不足,鼓励自己关怀自己
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
拖延决策,承认并接受自己对于决策的慎重,鼓励自己从小事做起，逐步提高决策能力和效率
记忆力减退,承认自己记忆力减退,鼓励自己寻找提高记忆力的方法
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
情绪：愤怒与怨恨,承认并接受自己对自己或对方存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
缺乏珍惜的能力,提醒自己现在的关系值得珍惜,鼓励自己珍惜现有关系
情绪：孤独,承认并接受自己的孤独感,提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
自我防御（想要证明对方是错的）,承认并接受自己的防御心理,鼓励自己停止防御，尝试理解父母的立场
悲观（觉得自己遇不到更好的了）,允许自己为过去的关系悲伤,祝福自己未来的恋情
家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
注意力涣散,承认并接受自己注意力不集中,鼓励自己寻找提高注意力的方法
情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
情绪：焦虑（生活不受控）,承认并接受自己的焦虑,鼓励自己提高对生活的掌控
情绪：焦虑（职业发展）,承认并接受自己对于职业发展的关注,鼓励自己制定职业规划，逐步实现目标
过度准备,承认并接受自己的过度准备,鼓励自己减少过度准备，增强行动力
不合理信念（觉得自己无关紧要）,提醒自己每个人都至关重要,自我肯定
道德内疚（觉得不该用新恋情解决情绪问题，在接受新的感情上自弃）,肯定自己的道德原则,鼓励自己尝试新感情
去人格化（对自己和他人冷漠或消极的态度),承认自己对自己和他人关怀不足,鼓励自己关怀自己并培养对他人的同理心
情绪：焦虑（疾病）,承认并接受自己的焦虑,鼓励自己寻找处理焦虑的方法
对人失去信心（恐惧再次受伤）,承认并接受自己的恐惧,鼓励自己增强心理韧性，减少对受伤的恐惧
强迫症,承认并接受自己的强迫症,鼓励自己减少过度追求完美
家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
情绪：焦虑（学历）,承认并接受自己但对于学历的关注,鼓励自己重新评估自身的能力和价值
自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
情感压抑,承认内心情感,表达内心情感
拖延求职,提醒自己做一点点求职准备就好,鼓励自己制定计划，逐步进行求职
消极行为（熬夜酗酒吸烟不健康饮食）,承认自己的不健康行为，提醒自己值得好好活着,鼓励自己寻找替代行为，减少不健康行为
否认疾病,承认并接受自己的否认,鼓励自己正视健康问题
对旁人和环境苛刻,承认自己对旁人和环境苛刻,提醒自己包容，减少对他人和环境的过度要求
拖延交付,提醒自己完成比完美更重要,鼓励自己制定计划，及时完成任务
情绪：焦虑（职业发展）,承认并接受自己对于职业发展的关注,鼓励自己制定职业规划，逐步实现目标
情绪：焦虑（人际关系）,承认并接受自己对于人际关系的关注,鼓励自己改善人际关系，寻求支持
情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接
回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
情感认知障碍（无法识别什么是健康的爱）,提醒自己有能力识别健康的爱,鼓励自己追求健康的爱
文化冲击,承认并接受自己的文化冲击,鼓励自己逐步适应新文化
情感麻木,承认并接受自己的情感麻木,鼓励自己关注、倾听并表达自己的内心情感
