用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,自我肯定语,zhihu_link
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我的信念是我改变命运的剑,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,在这个地球上，我就是不可复制的存在。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我就是我，这世上再也找不到第二个人。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我的价值是我自己定义的，不依赖于他人的目光。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,在这繁星点点的人海中，我依旧在璀璨地闪耀。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,任何人都无法成为比我更好的我，我独一无二。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
情绪：安全感缺失,,用户1级需求： 用户2级需求：,我的内心如同坚固的堡垒，我是自己的守护者,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求： 用户2级需求：,我和自己的平静同行，外界的喧嚣无法撼动我,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求： 用户2级需求：,我自己的节奏里找到内心的安宁,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求： 用户2级需求：,无论多么繁忙，我总能寻找到平静的力量,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求： 用户2级需求：,我善待自己，因此我感到安全而自在,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我在孤独中找到了自我，而自我，是我最有价值的宝藏。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我享受一个人的时光，那是我最深刻自我对话的时刻。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我一个人的时候，就是我与自己的灵魂最靠近的时候。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我在这种独处之中，凝视自己的灵魂，触摸了真实的力量。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我在独处的时光里，与最深处的自我相遇，找到了宁静的力量。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：安全感缺失,,用户1级需求：树立我身边有爱我的人，我值得被重视的观点 用户2级需求：,我是无数爱与关怀的汇聚，我从不孤单。,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求：树立我身边有爱我的人，我值得被重视的观点 用户2级需求：,我感到的每一次温暖都是对我的重视。,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求：树立我身边有爱我的人，我值得被重视的观点 用户2级需求：,虽然我看不见，但爱一直包围着我。,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求：树立我身边有爱我的人，我值得被重视的观点 用户2级需求：,有你的世界，我感到无比安全。,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/536178623/answer/2516206371
情绪：安全感缺失,,用户1级需求：树立我身边有爱我的人，我值得被重视的观点 用户2级需求：,我知道，每个爱我的人都是我的宝藏。,https://www.zhihu.com/question/29141214/answer/1764795653 https://www.zhihu.com/question/470059547/answer/1980754643 https://www.zhihu.com/question/536178623/answer/2516206371
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我并不是失败者，每一段旅程都将我引向了新的认知和成长。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我对每一次尝试的自我评价都是积极和客观的，它们是我进步的阶梯。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我相信，每一个现在都奠定了我未来的成功。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我不以结果论英雄，而是以过程中的自我超越和努力。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我接受自己的不完美，因为它正是我成长的起点，同时，我也在不断进步。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
productor-pro-0121
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我的命运由我自己书写，不是宿命的轮回。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我在起伏生命中学习适应，而不是被动接受所谓的宿命。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,每一选择都是我自由意志的体现，不是命运的枷锁。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,即使是最黑暗的夜晚，我也会为自己寻找光亮。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我选择相信自己的努力，而非无力的宿命。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我学会从怀疑中汲取成长的动力，这是我成熟的开始。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,面对自我怀疑，我不恐慌，因为我懂得这是进步的象征。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我知道我用错误的方法追求错误的目标，但这并不会阻碍我成功。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我对自己的认识不断深化，清晰地理解自己的每一个行动，这是我前进的真正动力。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,每次面对自我怀疑，都是我重新审视和自我肯定的机会。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我的努力如同潮来潮往，不断冲刷自我，终将显露我的价值,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我的行动带来变化，就像爱河中的水，愈给予愈丰盈,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我是一个不停成长的个体，即使伴随着自我怀疑。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我通过不断的自我否定，开拓更宽广的视野。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我对成功有了更深的认识，它与目标和方法无关，而是关于我持之以恒的态度。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我的价值不是由我追求目标的直线道路所定义的。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我明白内心有一条界限，我的界限是明确与不可逾越的。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我在这个世界的孤独角落，我种下希望的种子，每次创造都是收获的季节。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,在我生命的土地上，我耕耘着价值的田野，每个努力都是与世界的一次握手。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,孤独不是空虚，而是我与外界联系的序幕，我在创造出连接的桥梁。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,我的孤独是我旅途的伙伴，我的作品是我与世界对话的语言。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
受辱敏感,,用户1级需求： 用户2级需求：,我知道我的努力是不够的，这正是我更上一层楼的契机。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,无论外界如何评测，我的价值不应由他人几句话来定夺。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,我的自我价值来自于我的成长和努力，而非他人的评价。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,每一次对我人格的质疑，都将成为我更加坚韧不拔的理由。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,在我的心中，自尊与自信的火焰永不熄灭，任何侮辱都只是使其更加炽烈。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我不是失败者，我只是暂时还未实现成功。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,每一个成功之前，都是无数个‘我’在尝试。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我的价值，不是由一次失败定义，而是由我每一次的坚持所铸就。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我懂得欣赏自己的每一步，因为每一步都带我去向更远的地方。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
不合理信念（觉得自己是失败者）,,用户1级需求：建立积极心态，尝试看到做的自己好的地方 用户2级需求：客观地判断,我看到的不是失败，我看到的是通往成功路上的风景与教训。,https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/pin/1633285963152695296 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/46415676/answer/1872244113
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我不因暂时的迷茫而质疑自己的价值，每个探索的瞬间都是成长的一部分。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,自我怀疑只是成长的阵痛，它激发我更深刻地认识自己。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,在面对自我价值的质疑中，我的每一个坚持都显得尤为珍贵。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我理解，所有的不确定中都隐藏着向我展示力量的机会。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我知道，告诉自己“我已经足够好”是我每天最重要的任务。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我相信，我的步伐虽小，却是我命运的巨轮。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我的自由不是宿命的赐予，而是我选择相信的结果。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我不屈从于命运的安排，我掌控自己的人生。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,每一个选择都是我摆脱宿命的证据。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我拒绝预设的命运，我书写自己的传奇。,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
情绪：孤独,,用户1级需求：建立我一个人的时候可以很好的享受自我的思想 用户2级需求：,在孤独的时刻，我用创造力与世界对话。,https://www.zhihu.com/question/296898800/answer/2268747553 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/35858776/answer/3038573854
