知乎资料,来源,最终结果,权重,句子,合集,感情状况,最近的感觉,什么让你有这种感觉
https://www.zhihu.com/question/492265143/answer/2170473726 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/22608645/answer/776241381,3号,我的每个决定，无论大小，都是我成长的印记。,2,我的每个决定，无论大小，都是我成长的印记。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/32159310/answer/1065726051 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,过往的准备是为了未来，现在，让未来成为每一个当下。,1,过往的准备是为了未来，现在，让未来成为每一个当下。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']","['朋友', '工作']"
,2号,我愿放下计较，纯粹体验给予。,1,我愿放下计较，纯粹体验给予。,治愈之旅,"['处在一段艰难的亲密关系中', '有点辛苦的暗恋']","['一般', '不好', '糟糕']",['感情']
https://www.zhihu.com/question/404884534/answer/2658513818 https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/430513997/answer/1591066367 https://www.zhihu.com/question/32159310/answer/1065726051,3号,生活中的每一页，都是我亲手翻阅的篇章。,1,生活中的每一页，都是我亲手翻阅的篇章。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/509287672/answer/2293501436 https://www.zhihu.com/question/359056178/answer/988946095 https://www.zhihu.com/question/522688509/answer/2462647129 https://www.zhihu.com/question/423114379/answer/1509044251,3号,我的决策慎重，因此我走得稳。,1,我的决策慎重，因此我走得稳。,自信,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
,2号,我认识到自我认识是动态的过程，每日都有新的可能。,1,我认识到自我认识是动态的过程，每日都有新的可能。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '开心']",['自己']
https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/23418252/answer/659008704 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/296898800/answer/2268747553,3号,我倾听着他人的言语，敞开了心扉，这使我不再孤独。,2,我倾听着他人的言语，敞开了心扉，这使我不再孤独。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],"['朋友', '感情']"
,2号,我的勇气源于自己积累的善意。,2,我的勇气源于自己积累的善意。,成为英雄,['单身但准备好了开始新的恋情'],"['开心', '很好']","['自己', '朋友']"
,2号,在我的生活中，我选择成为决策的主人，而不是逃避的奴隶。,2,在我的生活中，我选择成为决策的主人，而不是逃避的奴隶。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '自己']","['开心', '很好', '一般']",['自己']
,2号,我能在不因他人而动摇的立场上，实践自己的爱心。,1,我能在不因他人而动摇的立场上，实践自己的爱心。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
,2号,我在沟通中坚持自我，同时也保持理解和谅解他人。,1,我在沟通中坚持自我，同时也保持理解和谅解他人。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",['一般'],"['朋友', '感情']"
,2号,清晨醒来，我有重新开始的勇气。,1,清晨醒来，我有重新开始的勇气。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好']",['自己']
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/52506086/answer/2758913171,3号,"在他人忽视我的时候,我会加倍珍惜和爱护自己。",2,"在他人忽视我的时候,我会加倍珍惜和爱护自己。",自我关怀,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['不好', '糟糕']",['自己']
,2号,我在错误中成长。,1,我在错误中成长。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']",['一般'],['自己']
https://www.zhihu.com/question/529848226/answer/2458681726 https://www.zhihu.com/question/444218782/answer/1783979493 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/808437605/answer/4724144069 https://www.zhihu.com/question/446246842/answer/1749753357,3号,那些混乱的日子，如今成了我内心坚韧的一部分。,1,那些混乱的日子，如今成了我内心坚韧的一部分。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好']","['自己', '感情']"
https://www.zhihu.com/question/431601536/answer/1690740358 https://www.zhihu.com/question/31473116/answer/2189477071 https://www.zhihu.com/question/471778847/answer/2770933810,3号,我要像野草丛中的独花般活得精彩。,1,我要像野草丛中的独花般活得精彩。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我不会因他人不满而自责。,1,我不会因他人不满而自责。,自信,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],"['自己', '朋友', '感情']"
,2号,我在行动中发现自我，行动是进步的阶梯。,1,我在行动中发现自我，行动是进步的阶梯。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱']","['开心', '很好']",['自己']
,2号,我要通过爱提升自己和他人。,1,我要通过爱提升自己和他人。,人际交往,"['正在恋爱', '单身但准备好了开始新的恋情']",['很好'],"['感情', '朋友']"
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/501939961/answer/2248333503 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我像树木一样，经得起风霜，也撑起了自己的天空。,2,我像树木一样，经得起风霜，也撑起了自己的天空。,成为英雄,"['快乐地单身着', '处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']",['很好'],['自己']
https://www.zhihu.com/question/639212137/answer/3360367662 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/537197073/answer/2525137981 https://www.zhihu.com/question/267342174/answer/1656513497 https://www.zhihu.com/question/20248729/answer/2067118565,3号,世界纷扰，我自独处海岸，心如止水。,1,世界纷扰，我自独处海岸，心如止水。,平和心境,['快乐地单身着'],['很好'],"['自己', '感情']"
,2号,我能理智判断改变或维持时机。,1,我能理智判断改变或维持时机。,自信,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",['很好'],"['自己', '工作']"
,2号,我有能力平息内心的风暴，将负面转化为正面的动力。,1,我有能力平息内心的风暴，将负面转化为正面的动力。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://www.zhihu.com/question/629406525/answer/3315305494 https://www.zhihu.com/question/487861949/answer/2511453315 https://www.zhihu.com/question/273390297/answer/1839256319 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我存在的不完美，正是我真实的一部分。,2,我存在的不完美，正是我真实的一部分。,情感疗愈,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['自己', '感情']"
,2号,我接受自己的过去，正视它，然后超越它。,2,我接受自己的过去，正视它，然后超越它。,个人成长,"['快乐地单身着', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '很好']",['自己']
https://www.zhihu.com/question/654660683/answer/3509659912 https://www.zhihu.com/question/404884534/answer/2658513818 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/32159310/answer/1065726051,3号,尽管世界喧嚣，我能在心中找到一片安静的天地。,2,尽管世界喧嚣，我能在心中找到一片安静的天地。,平和心境,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/539615323/answer/2573303666 https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/20884233/answer/2386619970,3号,我让爱自由流动，如同放飞风筝的线，掌握而不牵绊。,2,我让爱自由流动，如同放飞风筝的线，掌握而不牵绊。,人际关系,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['感情']
https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/539615323/answer/2573303666 https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/20884233/answer/2386619970,3号,无论情绪如何跌宕，我仍懂得分寸和尊重。,2,无论情绪如何跌宕，我仍懂得分寸和尊重。,平和心境,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['一般', '不好', '糟糕']","['自己', '感情', '朋友', '家庭']"
https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/354168630/answer/2703001781 ,3号,在苦海中泛舟，我是掌舵者，终将抵达明亮的彼岸。,1,在苦海中泛舟，我是掌舵者，终将抵达明亮的彼岸。,成为英雄,"['处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['不好', '一般']",['感情']
,2号,我坦然理性面对生活的转变。,1,我坦然理性面对生活的转变。,个人成长,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['自己', '感情']"
,2号,在不确定的道路上，我勇敢地选择了自己心中的光明。,1,在不确定的道路上，我勇敢地选择了自己心中的光明。,成为英雄,['单身但准备好了开始新的恋情'],"['一般', '开心']",['自己']
https://www.zhihu.com/question/627503248/answer/3268795716 https://www.zhihu.com/question/315284987/answer/1864804256 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/467737273/answer/1963496023 https://www.zhihu.com/question/60197709/answer/2778310539,3号,我的敏感是难得的天赋。,2,我的敏感是难得的天赋。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱']",['一般'],['自己']
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我懂得了在生活的重压下，给予自己一个温柔的安慰。,2,我懂得了在生活的重压下，给予自己一个温柔的安慰。,自我关怀,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['不好', '糟糕']","['自己', '感情']"
https://www.zhihu.com/question/415379183/answer/1473067848 https://www.zhihu.com/question/522688509/answer/2462647129 ,3号,我在日常发现不平凡品质。,2,我在日常发现不平凡品质。,个人成长,"['单身但准备好了开始新的恋情', '快乐地单身着']","['开心', '很好']",['自己']
,2号,我能在变化中找到规律，稳扎稳打，走向成功。,1,我能在变化中找到规律，稳扎稳打，走向成功。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/623197705/answer/3221329941 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我反思自己内心的风暴，因为它将引领我至平静的海岸。,1,我反思自己内心的风暴，因为它将引领我至平静的海岸。,治愈之旅,"['快乐地单身着', '处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好', '糟糕']",['自己']
,2号,我接受爱是一种选择，超越了配与不配的界限。,1,我接受爱是一种选择，超越了配与不配的界限。,情感疗愈,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],['感情']
,2号,我认识到每个行为都有其后果，并愿意承担这些后果。,2,我认识到每个行为都有其后果，并愿意承担这些后果。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱']","['很好', '一般']",['自己']
,2号,我选择将个人的悔恨转化为造福人类的行动。,1,我选择将个人的悔恨转化为造福人类的行动。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '不好']",['自己']
,2号,我选择利他，毫无所图，保持内心的宁静。,1,我选择利他，毫无所图，保持内心的宁静。,治愈之旅,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']","['自己', '感情']"
https://www.zhihu.com/question/434449322/answer/3286532057 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/522688509/answer/2462647129,3号,我所投入的每一分研究，都在塑造一个更深邃的我。,1,我所投入的每一分研究，都在塑造一个更深邃的我。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']",['自己']
,2号,我明白，通过我的创造性工作，我并不孤单。,1,我明白，通过我的创造性工作，我并不孤单。,个人成长,['快乐地单身着'],['很好'],"['自己', '工作']"
,2号,我的产品和创意是桥梁，连接我和他人的心中孤岛。,1,我的产品和创意是桥梁，连接我和他人的心中孤岛。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['很好', '一般']","['朋友', '感情']"
,2号,每个人都会犯错，我可以耐心等待。,2,每个人都会犯错，我可以耐心等待。,平和心境,"['快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['一般', '很好']","['自己', '家庭', '朋友', '感情']"
,2号,我对失落不再敏感，因为我内心已经做好了面对一切的准备。,2,我对失落不再敏感，因为我内心已经做好了面对一切的准备。,治愈之旅,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']",['很好'],['自己']
,2号,我创造的价值可以影响他人生活，让我倍感联结。,1,我创造的价值可以影响他人生活，让我倍感联结。,人际交往,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '开心']","['朋友', '工作']"
,2号,我耐心对待自己的成长，知道每一步都至关重要。,1,我耐心对待自己的成长，知道每一步都至关重要。,个人成长,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
https://www.zhihu.com/question/20694013/answer/1846677969 https://www.zhihu.com/question/501939961/answer/2248333503 https://www.zhihu.com/question/19553905/answer/605105794 ,3号,我虽然行走在崎岖的路上，但我的心仍坚定如初。,2,我虽然行走在崎岖的路上，但我的心仍坚定如初。,成为英雄,"['处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好']",['自己']
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/52506086/answer/2758913171,3号,我像对朋友般对待自己。,2,我像对朋友般对待自己。,自我关怀,"['快乐地单身着', '正在恋爱', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '开心']","['自己', '朋友']"
https://www.zhihu.com/question/418006057/answer/1827778336 https://www.zhihu.com/question/585881523/answer/2907953417 https://www.zhihu.com/question/522688509/answer/2462647129 ,3号,我的过往如无言的书，每一页都藏着生活的爱语。,1,我的过往如无言的书，每一页都藏着生活的爱语。,情感疗愈,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['很好'],['感情']
,2号,我珍视自己的独特性，它是我力量的源泉。,1,我珍视自己的独特性，它是我力量的源泉。,自信,['快乐地单身着'],"['很好', '开心']",['自己']
https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/23418252/answer/659008704 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/296898800/answer/2268747553,3号,我的话语虽然简单，却承载着连接你我的使命。,1,我的话语虽然简单，却承载着连接你我的使命。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好']","['朋友', '感情']"
https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/23418252/answer/659008704 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/20248729/answer/2067118565 https://www.zhihu.com/question/296898800/answer/2268747553,3号,我渴望与人沟通，这是我内心的渴求。,1,我渴望与人沟通，这是我内心的渴求。,人际交往,"['快乐地单身着', '单身但准备好了开始新的恋情', '处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好']","['朋友', '感情']"
,2号,我会珍惜那些能够自由地选择去爱，而不是仅寻找满足自己欲望的人。,2,我会珍惜那些能够自由地选择去爱，而不是仅寻找满足自己欲望的人。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",['一般'],['感情']
,2号,我明白逆境是暂时的，保持信心将使我重新站起来。,2,我明白逆境是暂时的，保持信心将使我重新站起来。,个人成长,"['有点辛苦的暗恋', '最近刚分手']","['一般', '不好']",['自己']
,2号,抱着学习的态度，我与世界保持开放与沟通。,1,抱着学习的态度，我与世界保持开放与沟通。,个人成长,['快乐地单身着'],['一般'],"['朋友', '学业']"
,2号,我有权选择自己的方向。,2,我有权选择自己的方向。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['开心', '很好']",['自己']
https://www.zhihu.com/question/309682535/answer/582181598 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/315494956/answer/1465036439 https://www.zhihu.com/question/22608645/answer/776241381,3号,我像树，自有站立的意义。,1,我像树，自有站立的意义。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']",['自己']
,2号,我能在爱中透过倾听和理解来应对伴侣的负面情绪。,1,我能在爱中透过倾听和理解来应对伴侣的负面情绪。,人际交往,"['正在恋爱', '处在一段艰难的亲密关系中']","['很好', '一般']",['感情']
,2号,我允许自己感受到情绪的复杂性，这使我更真实更稳定。,1,我允许自己感受到情绪的复杂性，这使我更真实更稳定。,和平心境,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['自己', '感情']"
https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/509380670/answer/3584463951 https://www.zhihu.com/question/52506086/answer/2758913171 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我以冷静的态度面对不快，从中找寻前进的力量。,1,我以冷静的态度面对不快，从中找寻前进的力量。,自信,"['处在一段艰难的亲密关系中', '最近刚分手', '有点辛苦的暗恋']","['不好', '糟糕']","['自己', '感情']"
https://www.zhihu.com/question/471922836/answer/2381004386 https://www.zhihu.com/question/538025581/answer/2539194102 https://www.zhihu.com/question/474196057/answer/2024559468,3号,我不会对他人的苦难视而不见。,2,我不会对他人的苦难视而不见。,成为英雄,"['正在恋爱', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']",['一般'],"['朋友', '感情']"
,2号,每一次释放善意，我都为这个世界增添了一份力量。,2,每一次释放善意，我都为这个世界增添了一份力量。,成为英雄,"['快乐地单身着', '单身但准备好了开始新的恋情']","['开心', '很好']","['朋友', '家庭', '感情']"
https://www.zhihu.com/question/522753742/answer/3534103042 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/661092845/answer/3565404608 https://www.zhihu.com/question/32159310/answer/1065726051,3号,我不会让情绪主宰自己。,2,我不会让情绪主宰自己。,平和心境,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['很好', '一般']",['自己']
https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/539615323/answer/2573303666 https://www.zhihu.com/question/288975314/answer/1445658912 https://www.zhihu.com/question/20884233/answer/2386619970,3号,爱不仅仅是拥有，更多是彼此世界的宽广。,2,爱不仅仅是拥有，更多是彼此世界的宽广。,情感疗愈,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['很好', '一般']","['感情', '朋友']"
https://www.zhihu.com/question/430513997/answer/1591066367 https://www.zhihu.com/question/404884534/answer/2658513818 https://www.zhihu.com/question/407934212/answer/1350882472 https://www.zhihu.com/question/32159310/answer/1065726051,3号,我如同涓涓细流，汇成事业的江河。,2,我如同涓涓细流，汇成事业的江河。,个人成长,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']","['开心', '很好']",['工作']
https://www.zhihu.com/question/509287672/answer/2293501436 https://www.zhihu.com/question/359056178/answer/988946095 https://www.zhihu.com/question/522688509/answer/2462647129 https://www.zhihu.com/question/423114379/answer/1509044251,3号,我在每个选择前都驻足，因为我相信谨慎是我的盾牌。,1,我在每个选择前都驻足，因为我相信谨慎是我的盾牌。,自信,"['快乐地单身着', '单身但准备好了开始新的恋情', '正在恋爱', '处在一段艰难的亲密关系中']","['一般', '很好']",['自己']
https://www.zhihu.com/question/408290558/answer/1354742955 https://www.zhihu.com/question/482200684/answer/2084759891 https://www.zhihu.com/question/484926471/answer/2105764356 https://www.zhihu.com/question/658500955/answer/3529099858 https://www.zhihu.com/question/408290558/answer/1354742955 https://www.zhihu.com/question/537845427/answer/2532609297,3号,我愿意承担信任的风险，这是我内心的勇气。,1,我愿意承担信任的风险，这是我内心的勇气。,成为英雄,"['单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['开心', '很好']","['自己', '感情']"
https://www.zhihu.com/question/20021937/answer/2005292053 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 https://www.zhihu.com/question/607297046/answer/3242014062,3号,我允许自己感受生活的一切。,2,我允许自己感受生活的一切。,治愈之旅,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
,2号,即使在困境中，我选择用坚强而非失望来塑造我的未来。,1,即使在困境中，我选择用坚强而非失望来塑造我的未来。,成为英雄,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']","['一般', '不好']",['自己']
https://www.zhihu.com/question/629406525/answer/3315305494 https://www.zhihu.com/question/487861949/answer/2511453315 https://www.zhihu.com/question/28356478/answer/810670391 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,我的情绪似水，可以波涛汹涌，也可以平静如镜。,1,我的情绪似水，可以波涛汹涌，也可以平静如镜。,平和心境,"['快乐地单身着', '正在恋爱', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '很好']",['自己']
https://www.zhihu.com/question/629406525/answer/3315305494 https://www.zhihu.com/question/487861949/answer/2511453315 https://www.zhihu.com/question/28356478/answer/810670391 https://www.zhihu.com/question/411506270/answer/1378172780 ,3号,在我心情动荡时，我懂得寻找内心深处的宁静海湾。,1,在我心情动荡时，我懂得寻找内心深处的宁静海湾。,平和心境,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手', '有点辛苦的暗恋']","['一般', '不好']","['自己', '感情']"
https://zhuanlan.zhihu.com/p/549210717 https://www.zhihu.com/question/357978609/answer/2232623516 https://www.zhihu.com/question/661092845/answer/3565404608 https://www.zhihu.com/question/472210725/answer/2108768226 https://www.zhihu.com/question/276497897/answer/3441749365,3号,我允许自己在失败中重新站起，生活不是我唱独角戏。,1,我允许自己在失败中重新站起，生活不是我唱独角戏。,个人成长,['快乐地单身着'],"['开心', '很好']",['自己']
,2号,我以感激之心情对过往，珍惜每个独立自我的完整性。,1,我以感激之心情对过往，珍惜每个独立自我的完整性。,自我关怀,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']","['很好', '一般']",['自己']
