大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,index
,失恋,,情绪：愤怒与怨恨,承认自己对自己或对方存在不满，提醒自己自我保护，自我接纳，包容他人,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨承认自己对自己或对方存在不满，提醒自己自我保护，自我接纳，包容他人鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,失恋,,情绪：安全感缺失,承认并接受自己对于安全感的需求，肯定自己内心的安全,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感,,,,,,,,,,,,情绪：安全感缺失承认并接受自己对于安全感的需求，肯定自己内心的安全提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,失恋,,情绪：孤独,承认自己对于连接的需求，提醒自己有能力与人建立连接,提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接,,,,,,,,,,,,情绪：孤独承认自己对于连接的需求，提醒自己有能力与人建立连接提醒自己不是一个人，有人愿意关心自己，鼓励自己寻求支持和新的连接
,失恋,,情绪：迷茫（人生规划）,承认并接受自己对于人生规划的迷茫,鼓励自己自我探索，重新评估现状与规划未来,,,,,,,,,,,,情绪：迷茫（人生规划）承认并接受自己对于人生规划的迷茫鼓励自己自我探索，重新评估现状与规划未来
,失恋,,情绪：焦虑（外部评价）,提醒自己不要被情绪和感受控制，也不要被外部评价影响,肯定自己的价值，冷静应对外部评价,,,,,,,,,,,,情绪：焦虑（外部评价）提醒自己不要被情绪和感受控制，也不要被外部评价影响肯定自己的价值，冷静应对外部评价
,被PUA,"处在一段艰难的亲密关系中,感情",自我价值感降低（自我怀疑）,自我安抚,自我肯定,,,,,,,,,,,,自我价值感降低（自我怀疑）自我安抚自我肯定
,被PUA,,去人格化（对自己和他人冷漠或消极的态度),提醒自己有自我关怀和关怀他人的能力,鼓励自己关怀自己并培养对他人的同理心,,,,,,,,,,,,去人格化（对自己和他人冷漠或消极的态度)提醒自己有自我关怀和关怀他人的能力鼓励自己关怀自己并培养对他人的同理心
,被PUA,,情感认知障碍（无法识别什么是健康的爱）,提醒自己有能力识别健康的爱,鼓励自己追求健康的爱,,,,,,,,,,,,情感认知障碍（无法识别什么是健康的爱）提醒自己有能力识别健康的爱鼓励自己追求健康的爱
,被PUA,,对关系过度理想化,提醒自己理性客观看待所处的关系,鼓励自己重新评估关系的现实性,,,,,,,,,,,,对关系过度理想化提醒自己理性客观看待所处的关系鼓励自己重新评估关系的现实性
,被PUA,,过度反思自我责备,提醒自己他人的指责不是事实,提醒自己课题分离，不为别人的情绪自我责备,,,,,,,,,,,,过度反思自我责备提醒自己他人的指责不是事实提醒自己课题分离，不为别人的情绪自我责备
,被PUA,,失去了独立思考和做决定的能力,提醒自己有能力独立思考和做决定,鼓励自己开始独立思考和做决定,,,,,,,,,,,,失去了独立思考和做决定的能力提醒自己有能力独立思考和做决定鼓励自己开始独立思考和做决定
,被PUA,,认知失调,识别对自己有害的行为，承认自己受到了伤害,阻止对自己有害的行为,,,,,,,,,,,,认知失调识别对自己有害的行为，承认自己受到了伤害阻止对自己有害的行为
,被PUA,,沟通障碍（不敢尝试表达）,承认自己对于沟通的需求,提醒自己恋人是愿意倾听自己的，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍（不敢尝试表达）承认自己对于沟通的需求提醒自己恋人是愿意倾听自己的，鼓励自己尝试沟通
,被PUA,,恐惧离开关系,承认并接受自己不愿意离开关系,提醒自己有能力独立生活，鼓励自己离开不健康的关系,,,,,,,,,,,,恐惧离开关系承认并接受自己不愿意离开关系提醒自己有能力独立生活，鼓励自己离开不健康的关系
,被PUA,,情绪：无力感,承认自己对于力量感的需求，提醒自己有能力获得力量,鼓励自己从小事中获得自信和力量,,,,,,,,,,,,情绪：无力感承认自己对于力量感的需求，提醒自己有能力获得力量鼓励自己从小事中获得自信和力量
,被PUA,,情绪：焦虑（不够独立）,承认并接受自己对于独立生活的重视,鼓励自己提高独立性，增强自信,,,,,,,,,,,,情绪：焦虑（不够独立）承认并接受自己对于独立生活的重视鼓励自己提高独立性，增强自信
,被PUA,,情绪：焦虑（生活不受控）,承认自己对于掌控生活的需求，提醒自己有能力自立,鼓励自己自强，提高对生活的掌控,,,,,,,,,,,,情绪：焦虑（生活不受控）承认自己对于掌控生活的需求，提醒自己有能力自立鼓励自己自强，提高对生活的掌控
,父母反对,"处在一段艰难的亲密关系中,感情",自我怀疑（怀疑自己的眼光和判断能力）,自我安抚,鼓励自己重新评估自己的判断,,,,,,,,,,,,自我怀疑（怀疑自己的眼光和判断能力）自我安抚鼓励自己重新评估自己的判断
,父母反对,,道德内疚（觉得对父母有亏欠）,承认并接受自己的内疚感,鼓励自己课题分离，重视自己的需求，不为他人的需求过度妥协,,,,,,,,,,,,道德内疚（觉得对父母有亏欠）承认并接受自己的内疚感鼓励自己课题分离，重视自己的需求，不为他人的需求过度妥协
,父母反对,,自我防御（想要证明对方是错的）,承认并接受自己的防御心理,鼓励自己停止防御，尝试理解父母的立场,,,,,,,,,,,,自我防御（想要证明对方是错的）承认并接受自己的防御心理鼓励自己停止防御，尝试理解父母的立场
,父母反对,,家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法,,,,,,,,,,,,家庭冲突承认并接受家庭冲突的存在鼓励自己寻找解决冲突的方法
,父母反对,,情绪：焦虑（关系进展）,承认并接受自己对于关系进展的关注,提醒自己在爱里任何进展都是能接受的,,,,,,,,,,,,情绪：焦虑（关系进展）承认并接受自己对于关系进展的关注提醒自己在爱里任何进展都是能接受的
,父母反对,,情绪：焦虑（人际关系）,承认并接受自己对于人际关系的关注,鼓励自己改善人际关系，寻求支持,,,,,,,,,,,,情绪：焦虑（人际关系）承认并接受自己对于人际关系的关注鼓励自己改善人际关系，寻求支持
,异地恋,,猜疑（对对方负面想象）,提醒自己不可猜疑,鼓励自己信任对方，减少负面想象,,,,,,,,,,,,猜疑（对对方负面想象）提醒自己不可猜疑鼓励自己信任对方，减少负面想象
,异地恋,,冲突化解难度高,承认并接受冲突的存在,鼓励自己寻找解决冲突的方法,,,,,,,,,,,,冲突化解难度高承认并接受冲突的存在鼓励自己寻找解决冲突的方法
,异地恋,,信任问题,承认并接受自己存在信任问题,鼓励自己建立信任，减少猜疑,,,,,,,,,,,,信任问题承认并接受自己存在信任问题鼓励自己建立信任，减少猜疑
,异地恋,,对爱失去信心,承认并接受自己对爱失去信心,鼓励自己重新评估关系，寻找爱的意义,,,,,,,,,,,,对爱失去信心承认并接受自己对爱失去信心鼓励自己重新评估关系，寻找爱的意义
,异地恋,,情感波动（难以抵抗新人的诱惑）,承认并接受自己的情感波动,鼓励自己专注于现有关系，抵抗诱惑,,,,,,,,,,,,情感波动（难以抵抗新人的诱惑）承认并接受自己的情感波动鼓励自己专注于现有关系，抵抗诱惑
,异地恋,,悲观（觉得两人没有未来）,允许自己为关系担忧,鼓励自己重新评估关系，寻找未来的可能性,,,,,,,,,,,,悲观（觉得两人没有未来）允许自己为关系担忧鼓励自己重新评估关系，寻找未来的可能性
,异地恋,,情绪：焦虑（关系进展）,承认并接受自己对于关系进展的关注,提醒自己在爱里任何进展都是可以承受的,,,,,,,,,,,,情绪：焦虑（关系进展）承认并接受自己对于关系进展的关注提醒自己在爱里任何进展都是可以承受的
,经济压力,,虚荣（觉得没钱没面子）,提醒自己物质价值不能决定一个人,鼓励自己重新评估价值观，减少对外在物质的依赖,,,,,,,,,,,,虚荣（觉得没钱没面子）提醒自己物质价值不能决定一个人鼓励自己重新评估价值观，减少对外在物质的依赖
,经济压力,,情绪：匮乏感,承认并接受自己对于富足感的需求，肯定自己内心的富足,鼓励自己感恩已拥有的事物，同时自强为自己争取更多选择权,,,,,,,,,,,,情绪：匮乏感承认并接受自己对于富足感的需求，肯定自己内心的富足鼓励自己感恩已拥有的事物，同时自强为自己争取更多选择权
,经济压力,,情绪：内疚感（觉得自己爱很有限）,承认并接受自己的内疚感,鼓励自己重新评估爱的能力，增强自信,,,,,,,,,,,,情绪：内疚感（觉得自己爱很有限）承认并接受自己的内疚感鼓励自己重新评估爱的能力，增强自信
,不会爱与被爱,"处在一段艰难的亲密关系中,感情",占有欲,提醒自己占有欲与爱背离,鼓励自己理解健康关系的边界，尊重对方的自由,,,,,,,,,,,,占有欲提醒自己占有欲与爱背离鼓励自己理解健康关系的边界，尊重对方的自由
,不会爱与被爱,,权力欲,提醒自己权力欲与爱背离,鼓励自己放下控制欲，尊重对方的自主权,,,,,,,,,,,,权力欲提醒自己权力欲与爱背离鼓励自己放下控制欲，尊重对方的自主权
,不会爱与被爱,,无意识侵犯对方自主权（包办/强制放债/爹味）,承认自己的越界行为,鼓励自己尊重对方的自主权，改善沟通,,,,,,,,,,,,无意识侵犯对方自主权（包办/强制放债/爹味）承认自己的越界行为鼓励自己尊重对方的自主权，改善沟通
,不会爱与被爱,,沟通障碍,承认自己对于沟通的需求,提醒自己恋人是愿意倾听自己的，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍承认自己对于沟通的需求提醒自己恋人是愿意倾听自己的，鼓励自己尝试沟通
,不会爱与被爱,,缺乏感恩的能力,提醒自己拥有许多东西,感恩自己所拥有的东西,,,,,,,,,,,,缺乏感恩的能力提醒自己拥有许多东西感恩自己所拥有的东西
,不会爱与被爱,,缺乏珍惜的能力,提醒自己现在的关系值得珍惜,鼓励自己珍惜现有关系,,,,,,,,,,,,缺乏珍惜的能力提醒自己现在的关系值得珍惜鼓励自己珍惜现有关系
,暗恋,"有点辛苦的暗恋,感情",自卑,承认并接受自己的自卑,鼓励自己增强自信,,,,,,,,,,,,自卑承认并接受自己的自卑鼓励自己增强自信
,暗恋,,理想化对方,允许自己看到别人的优点,鼓励自己客观看待对方，减少过度美化,,,,,,,,,,,,理想化对方允许自己看到别人的优点鼓励自己客观看待对方，减少过度美化
,暗恋,,情绪：焦虑（被拒绝）,承认并接受自己对于表白被拒绝的担忧,鼓励自己面对可能的拒绝，增强心理韧性,,,,,,,,,,,,情绪：焦虑（被拒绝）承认并接受自己对于表白被拒绝的担忧鼓励自己面对可能的拒绝，增强心理韧性
,暗恋,,情绪：焦虑（表白后果）,承认并接受自己对于表白后果的担忧，提醒自己爱中没有惧怕,鼓励自己从爱的原则出发来开启亲密关系，真诚的同时尊重对方的自由,,,,,,,,,,,,情绪：焦虑（表白后果）承认并接受自己对于表白后果的担忧，提醒自己爱中没有惧怕鼓励自己从爱的原则出发来开启亲密关系，真诚的同时尊重对方的自由
,暗恋,,情绪：焦虑（自己误解了对方的信号）,承认并接受自己对于误解对方信号的担忧,鼓励自己重新评估对方的信号，减少误解,,,,,,,,,,,,情绪：焦虑（自己误解了对方的信号）承认并接受自己对于误解对方信号的担忧鼓励自己重新评估对方的信号，减少误解
,低自尊（长期自卑）,,身材焦虑,提醒自己身体天然是美的,鼓励自己接受并赞美自己的身体,,,,,,,,,,,,身材焦虑提醒自己身体天然是美的鼓励自己接受并赞美自己的身体
,低自尊（长期自卑）,,容貌焦虑,提醒自己容貌天然是美的,鼓励自己接受并赞美自己的外貌,,,,,,,,,,,,容貌焦虑提醒自己容貌天然是美的鼓励自己接受并赞美自己的外貌
,低自尊（长期自卑）,,社交退缩,提醒自己值得拥有健康的人际关系,鼓励自己尝试社交，建立新的连接,,,,,,,,,,,,社交退缩提醒自己值得拥有健康的人际关系鼓励自己尝试社交，建立新的连接
,低自尊（长期自卑）,,外部依赖,肯定自己自强的意愿，提醒自己有能力独立,鼓励自己自强，增强独立性，减少对外界的依赖,,,,,,,,,,,,外部依赖肯定自己自强的意愿，提醒自己有能力独立鼓励自己自强，增强独立性，减少对外界的依赖
,低自尊（长期自卑）,,决策困难,承认并接受自己对于决策的慎重,鼓励自己从小事做起，逐步提高决策能力和效率,,,,,,,,,,,,决策困难承认并接受自己对于决策的慎重鼓励自己从小事做起，逐步提高决策能力和效率
,低自尊（长期自卑）,,过度妥协（讨好）,提醒自己重视自己的需求,鼓励自己设立界限，减少过度妥协,,,,,,,,,,,,过度妥协（讨好）提醒自己重视自己的需求鼓励自己设立界限，减少过度妥协
,低自尊（长期自卑）,,受辱敏感,承认并接受自己受辱敏感,提醒自己对他人补强，鼓励自己增强心理韧性,,,,,,,,,,,,受辱敏感承认并接受自己受辱敏感提醒自己对他人补强，鼓励自己增强心理韧性
,低自尊（长期自卑）,,情绪：焦虑（学历）,承认并接受自己对于个人能力的重视,鼓励自己重新评估自身的能力和价值,,,,,,,,,,,,情绪：焦虑（学历）承认并接受自己对于个人能力的重视鼓励自己重新评估自身的能力和价值
,低自尊（长期自卑）,,情绪：焦虑（职业发展）,承认并接受自己对于职业发展的关注,鼓励自己制定职业规划，逐步实现目标,,,,,,,,,,,,情绪：焦虑（职业发展）承认并接受自己对于职业发展的关注鼓励自己制定职业规划，逐步实现目标
,安全感缺失,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法,,,,,,,,,,,,情绪波动承认并接受自己的情绪波动鼓励自己寻找情绪稳定的方法
,完美主义,自己,强迫症,承认并接受自己的强迫症,鼓励自己减少过度追求完美,,,,,,,,,,,,强迫症承认并接受自己的强迫症鼓励自己减少过度追求完美
,完美主义,,自我中心（自恋、自负，过度关注自我需要，缺乏对他人的关注）,承认自己自我中心,鼓励自己关注他人，减少自我中心的意识,,,,,,,,,,,,自我中心（自恋、自负，过度关注自我需要，缺乏对他人的关注）承认自己自我中心鼓励自己关注他人，减少自我中心的意识
,完美主义,,拖延交付,提醒自己完成比完美更重要,鼓励自己制定计划，及时完成任务,,,,,,,,,,,,拖延交付提醒自己完成比完美更重要鼓励自己制定计划，及时完成任务
,完美主义,,过劳,承认并接受自己过劳，提醒自己自我关怀,鼓励自己寻找工作与生活的平衡,,,,,,,,,,,,过劳承认并接受自己过劳，提醒自己自我关怀鼓励自己寻找工作与生活的平衡
,完美主义,,对旁人和环境苛刻,接纳自己对于任务的重视，提醒自己有时需要包容他人和环境,提醒自己包容，减少对他人和环境的过度要求,,,,,,,,,,,,对旁人和环境苛刻接纳自己对于任务的重视，提醒自己有时需要包容他人和环境提醒自己包容，减少对他人和环境的过度要求
,完美主义,,情绪：焦虑（犯错失败）,承认并接受自己对于犯错的担忧，提醒自己犯错也没关系,鼓励自己接受错误，减少对失败的恐惧,,,,,,,,,,,,情绪：焦虑（犯错失败）承认并接受自己对于犯错的担忧，提醒自己犯错也没关系鼓励自己接受错误，减少对失败的恐惧
,完美主义,,情绪：焦虑（达不到他人期待）,承认并接受自己对于达不到他人期待的担忧,鼓励自己减少对外界期待的过度关注,,,,,,,,,,,,情绪：焦虑（达不到他人期待）承认并接受自己对于达不到他人期待的担忧鼓励自己减少对外界期待的过度关注
,内耗（个体内部矛盾、冲突或斗争）,,拖延决策,承认并接受自己对于决策的慎重,鼓励自己从小事做起，逐步提高决策能力和效率,,,,,,,,,,,,拖延决策承认并接受自己对于决策的慎重鼓励自己从小事做起，逐步提高决策能力和效率
,内向,,适应困难,承认并接受自己的适应困难,鼓励自己逐步适应新环境,,,,,,,,,,,,适应困难承认并接受自己的适应困难鼓励自己逐步适应新环境
,身份认同困惑,,不合理信念（觉得自己不正常）,提醒自己存在无须他人许可,鼓励自己重新评估自我认同，减少自我怀疑,,,,,,,,,,,,不合理信念（觉得自己不正常）提醒自己存在无须他人许可鼓励自己重新评估自我认同，减少自我怀疑
,压力与焦虑,,注意力涣散,承认并接受自己状态不佳,鼓励自己寻找提高注意力的方法,,,,,,,,,,,,注意力涣散承认并接受自己状态不佳鼓励自己寻找提高注意力的方法
,压力与焦虑,,记忆力减退,承认并接纳自己状态不佳,鼓励自己寻找提高记忆力的方法,,,,,,,,,,,,记忆力减退承认并接纳自己状态不佳鼓励自己寻找提高记忆力的方法
,压力与焦虑,,回避交流,接纳自己的自我保护，提醒自己与人交流是安全而有益的,鼓励自己尝试表达，改善沟通,,,,,,,,,,,,回避交流接纳自己的自我保护，提醒自己与人交流是安全而有益的鼓励自己尝试表达，改善沟通
,压力与焦虑,,睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法,,,,,,,,,,,,睡眠障碍承认并接受自己的睡眠障碍鼓励自己寻找改善睡眠的方法
,压力与焦虑,,过劳,承认并接受自己的过劳,鼓励自己寻找工作与生活的平衡,,,,,,,,,,,,过劳承认并接受自己的过劳鼓励自己寻找工作与生活的平衡
,压力与焦虑,,情绪：无助感,承认并接受自己的无助感，提醒自己可以获得支持,鼓励自己寻求支持，增强自信,,,,,,,,,,,,情绪：无助感承认并接受自己的无助感，提醒自己可以获得支持鼓励自己寻求支持，增强自信
,愤怒与怨恨,,记忆闪回,承认并接受自己的记忆闪回,鼓励自己寻找处理记忆闪回的方法,,,,,,,,,,,,记忆闪回承认并接受自己的记忆闪回鼓励自己寻找处理记忆闪回的方法
,愤怒与怨恨,,攻击性行为,承认自己有时失去控制，提醒自己有能力自控,鼓励自己寻找替代行为，减少攻击性,,,,,,,,,,,,攻击性行为承认自己有时失去控制，提醒自己有能力自控鼓励自己寻找替代行为，减少攻击性
,愤怒与怨恨,,冲突转移,承认自己有时转移冲突，提醒自己冷静，不伤害他人,鼓励自己寻找解决冲突的方法,,,,,,,,,,,,冲突转移承认自己有时转移冲突，提醒自己冷静，不伤害他人鼓励自己寻找解决冲突的方法
,愤怒与怨恨,,情绪：愤怒与怨恨,承认并接受自己对自己存在不满，提醒自己接纳自己,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨承认并接受自己对自己存在不满，提醒自己接纳自己鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,愤怒与怨恨,,情绪：后悔与懊恼（不甘心）,承认并接受自己对生活存在疑问,鼓励自己反思、分析和改进,,,,,,,,,,,,情绪：后悔与懊恼（不甘心）承认并接受自己对生活存在疑问鼓励自己反思、分析和改进
,愤怒与怨恨,,情绪：焦虑（生活不受控）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己提高对生活的掌控,,,,,,,,,,,,情绪：焦虑（生活不受控）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己提高对生活的掌控
,抑郁,糟糕,注意力涣散,承认并接纳自己状态不佳,鼓励自己寻找提高注意力的方法,,,,,,,,,,,,注意力涣散承认并接纳自己状态不佳鼓励自己寻找提高注意力的方法
,抑郁,,记忆力减退,承认并接受自己的记忆力减退,鼓励自己寻找提高记忆力的方法,,,,,,,,,,,,记忆力减退承认并接受自己的记忆力减退鼓励自己寻找提高记忆力的方法
,抑郁,,否认或解离,接纳自己的不适感,鼓励自己聚焦当下，平和心境,,,,,,,,,,,,否认或解离接纳自己的不适感鼓励自己聚焦当下，平和心境
,抑郁,,情感麻木,承认并接受自己的情感麻木,鼓励自己关注、倾听并表达自己的内心情感,,,,,,,,,,,,情感麻木承认并接受自己的情感麻木鼓励自己关注、倾听并表达自己的内心情感
,抑郁,,生活功能下降,承认并接受自己的生活功能下降,肯定自己的每一个生活举动,,,,,,,,,,,,生活功能下降承认并接受自己的生活功能下降肯定自己的每一个生活举动
,抑郁,,欲望降低,承认并接受自己的欲望降低,肯定自己的每一次快乐,,,,,,,,,,,,欲望降低承认并接受自己的欲望降低肯定自己的每一次快乐
,抑郁,,悲观,承认并接受自己的悲观情绪,鼓励自己冷静理性，重拾生活的信心,,,,,,,,,,,,悲观承认并接受自己的悲观情绪鼓励自己冷静理性，重拾生活的信心
,抑郁,,认知失调,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法,,,,,,,,,,,,认知失调承认并接受自己的认知失调鼓励自己寻找处理认知失调的方法
,抑郁,,不合理信念（觉得自己是失败者）,提醒自己也有做得好的地方,肯定自己做得好的地方,,,,,,,,,,,,不合理信念（觉得自己是失败者）提醒自己也有做得好的地方肯定自己做得好的地方
,抑郁,,不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,,,,,,,,,,,,不合理信念（宿命论）提醒自己未来是不可知的鼓励自己重新评估信念，减少宿命论
,抑郁,,药物依赖,提醒自己瘾是可以克服的,鼓励自己寻找替代方法，减少不健康的行为,,,,,,,,,,,,药物依赖提醒自己瘾是可以克服的鼓励自己寻找替代方法，减少不健康的行为
,抑郁,,消极行为（熬夜酗酒吸烟不健康饮食）,承认自己的不健康行为，提醒自己值得好好活着,鼓励自己寻找替代行为，减少不健康行为,,,,,,,,,,,,消极行为（熬夜酗酒吸烟不健康饮食）承认自己的不健康行为，提醒自己值得好好活着鼓励自己寻找替代行为，减少不健康行为
,抑郁,,自毁冲动,承认并接受自己的自毁冲动,鼓励自己寻找替代行为，减少自毁冲动,,,,,,,,,,,,自毁冲动承认并接受自己的自毁冲动鼓励自己寻找替代行为，减少自毁冲动
,抑郁,,情绪：悲伤,承认并接受自己的悲伤,鼓励自己寻找处理悲伤的方法,,,,,,,,,,,,情绪：悲伤承认并接受自己的悲伤鼓励自己寻找处理悲伤的方法
,抑郁,,情绪：空虚,承认并接受自己的空虚感,鼓励自己寻找填补空虚的方法,,,,,,,,,,,,情绪：空虚承认并接受自己的空虚感鼓励自己寻找填补空虚的方法
,抑郁,,情绪：无意义感,承认并接受自己的无意义感,鼓励自己寻找生活的意义,,,,,,,,,,,,情绪：无意义感承认并接受自己的无意义感鼓励自己寻找生活的意义
,家人关系不和,,情感压抑,承认内心对家人的情感,表达内心对家人的情感,,,,,,,,,,,,情感压抑承认内心对家人的情感表达内心对家人的情感
,家人关系不和,,沟通障碍,承认自己对于沟通的需求,提醒自己家人愿意倾听自己，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍承认自己对于沟通的需求提醒自己家人愿意倾听自己，鼓励自己尝试沟通
,家人关系不和,,攻击性行为,承认并接受自己的攻击性行为,鼓励自己寻找替代行为，减少攻击性,,,,,,,,,,,,攻击性行为承认并接受自己的攻击性行为鼓励自己寻找替代行为，减少攻击性
,家人关系不和,,认知混乱（无法诠释自己和家人的关系）,承认并接受自己的认知混乱,鼓励自己寻找处理认知混乱的方法,,,,,,,,,,,,认知混乱（无法诠释自己和家人的关系）承认并接受自己的认知混乱鼓励自己寻找处理认知混乱的方法
,家人关系不和,,角色混淆（如孩子过早承担成人责任）,承认并接受自己的角色混淆,鼓励自己重新评估角色，减少混淆,,,,,,,,,,,,角色混淆（如孩子过早承担成人责任）承认并接受自己的角色混淆鼓励自己重新评估角色，减少混淆
,家人关系不和,,不合理信念（认为自己是问题的原因）,提醒自己课题分离,鼓励自己理性判断问题的责任归属,,,,,,,,,,,,不合理信念（认为自己是问题的原因）提醒自己课题分离鼓励自己理性判断问题的责任归属
