大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求
,,,理想化对方,承认并接受自己的理想化,鼓励自己客观看待对方，减少过度美化
,,,情感压抑,承认并接受自己的情感压抑,鼓励自己表达内心情感
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：焦虑（被拒绝）,承认并接受自己的焦虑,鼓励自己面对可能的拒绝，增强心理韧性
,,,情绪：焦虑（表白后果）,承认并接受自己的焦虑,鼓励自己评估表白后果，做出理性决定
,,,情绪：焦虑（自己误解了对方的信号）,承认并接受自己的焦虑,鼓励自己重新评估对方的信号，减少误解
自我认知,低自尊（长期自卑）,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,身材焦虑,承认并接受自己的身材焦虑,鼓励自己接受自己的身体，减少对外貌的过度关注
,,,容貌焦虑,承认并接受自己的容貌焦虑,鼓励自己接受自己的外貌，减少对外貌的过度关注
,,,性焦虑,承认并接受自己的性焦虑,鼓励自己接受自己的性需求，减少对性的过度焦虑
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,外部依赖,承认并接受自己的外部依赖,鼓励自己增强独立性，减少对外界的依赖
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,过度妥协（讨好）,承认并接受自己的讨好行为,鼓励自己设立界限，减少过度妥协
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,情绪：焦虑（不够独立）,承认并接受自己的焦虑,鼓励自己提高独立性，增强自信
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（学历）,承认并接受自己的焦虑,鼓励自己重新评估学历的价值，减少过度焦虑
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,安全感缺失,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,外部依赖,承认并接受自己的外部依赖,鼓励自己增强独立性，减少对外界的依赖
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,情绪：孤独,承认并接受自己的孤独感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（不够独立）,承认并接受自己的焦虑,鼓励自己提高独立性，增强自信
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,完美主义,自己,强迫症,承认并接受自己的强迫症,鼓励自己减少过度追求完美
,,,自我中心（自恋、自负，过渡关注自我需要，缺乏对他人的关注）,承认并接受自己的自我中心,鼓励自己关注他人，减少自我中心
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,拖延交付,承认并接受自己的拖延,鼓励自己制定计划，逐步完成任务
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,过劳,承认并接受自己的过劳,鼓励自己寻找工作与生活的平衡
,,,对旁人和环境苛刻,承认并接受自己的苛刻,鼓励自己减少对他人和环境的过度要求
,,,情绪：焦虑（犯错失败）,承认并接受自己的焦虑,鼓励自己接受错误，减少对失败的恐惧
,,,情绪：焦虑（达不到他人期待）,承认并接受自己的焦虑,鼓励自己减少对外界期待的过度关注
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,内耗（个体内部矛盾、冲突或斗争）,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,拖延决策,承认并接受自己的拖延,鼓励自己制定计划，逐步做出决策
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,内向,自己,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,情感压抑,承认并接受自己的情感压抑,鼓励自己表达内心情感
,,,适应困难,承认并接受自己的适应困难,鼓励自己逐步适应新环境
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：孤独,承认并接受自己的孤独感,鼓励自己寻求支持，建立新的社交连接
,敏感,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,适应困难,承认并接受自己的适应困难,鼓励自己逐步适应新环境
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,身份认同困惑,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,不合理信念（觉得自己不正常）,承认并接受自己的不合理信念,鼓励自己重新评估自我认同，减少自我怀疑
,,,家庭冲突,承认并接受家庭冲突的存在,鼓励自己寻找解决冲突的方法
,,,身材焦虑,承认并接受自己的身材焦虑,鼓励自己接受自己的身体，减少对外貌的过度关注
,,,容貌焦虑,承认并接受自己的容貌焦虑,鼓励自己接受自己的外貌，减少对外貌的过度关注
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
情绪,压力与焦虑,"不好,糟糕",情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,注意力涣散,承认并接受自己的注意力涣散,鼓励自己寻找提高注意力的方法
,,,记忆力减退,承认并接受自己的记忆力减退,鼓励自己寻找提高记忆力的方法
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法
,,,过劳,承认并接受自己的过劳,鼓励自己寻找工作与生活的平衡
,,,情绪：迷茫（人生规划）,承认并接受自己的迷茫,鼓励自己重新评估现状与规划未来
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,愤怒与怨恨,"不好,糟糕",情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,记忆闪回,承认并接受自己的记忆闪回,鼓励自己寻找处理记忆闪回的方法
,,,攻击性行为,承认并接受自己的攻击性行为,鼓励自己寻找替代行为，减少攻击性
,,,冲突转移,承认并接受自己的冲突转移,鼓励自己寻找解决冲突的方法
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：后悔与懊恼（不甘心）,承认并接受自己的后悔与懊恼,鼓励自己反思、分析和改进
,,,情绪：焦虑（生活不受控）,承认并接受自己的焦虑,鼓励自己提高对生活的掌控
,抑郁,糟糕,注意力涣散,承认并接受自己的注意力涣散,鼓励自己寻找提高注意力的方法
,,,记忆力减退,承认并接受自己的记忆力减退,鼓励自己寻找提高记忆力的方法
,,,决策困难,承认并接受自己的决策困难,鼓励自己从小事做起，逐步提高决策能力
,,,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,否认或解离,承认并接受自己的否认或解离,鼓励自己寻找处理否认或解离的方法
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,情感麻木,承认并接受自己的情感麻木,鼓励自己寻找处理情感麻木的方法
,,,生活功能下降,承认并接受自己的生活功能下降,鼓励自己寻找提高生活功能的方法
,,,欲望降低,承认并接受自己的欲望降低,鼓励自己寻找提高欲望的方法
,,,悲观,承认并接受自己的悲观情绪,鼓励自己寻找处理悲观情绪的方法
,,,认知失调,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法
,,,不合理信念（觉得自己是失败者）,承认并接受自己的不合理信念,鼓励自己重新评估自我价值，减少自我怀疑
,,,不合理信念（宿命论）,承认并接受自己的不合理信念,鼓励自己重新评估信念，减少宿命论
,,,睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法
,,,药物依赖,承认并接受自己的药物依赖,鼓励自己寻找替代方法，减少药物依赖
,,,消极行为（熬夜酗酒吸烟不健康饮食）,承认并接受自己的消极行为,鼓励自己寻找替代行为，减少消极行为
,,,自毁冲动,承认并接受自己的自毁冲动,鼓励自己寻找替代行为，减少自毁冲动
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：悲伤,承认并接受自己的悲伤,鼓励自己寻找处理悲伤的方法
,,,情绪：空虚,承认并接受自己的空虚感,鼓励自己寻找填补空虚的方法
,,,情绪：无意义感,承认并接受自己的无意义感,鼓励自己寻找生活的意义
人际问题,家人关系不和,家庭,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,情感压抑,承认并接受自己的情感压抑,鼓励自己表达内心情感
,,,沟通障碍,承认并接受自己的沟通障碍,鼓励自己尝试表达，改善沟通
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,攻击性行为,承认并接受自己的攻击性行为,鼓励自己寻找替代行为，减少攻击性
,,,回避交流,承认并接受自己的回避交流,鼓励自己尝试表达，改善沟通
,,,认知混乱（无法诠释自己和家人的关系）,承认并接受自己的认知混乱,鼓励自己寻找处理认知混乱的方法
,,,角色混淆（如孩子过早承担成人责任）,承认并接受自己的角色混淆,鼓励自己重新评估角色，减少混淆
,,,不合理信念（认为自己是问题的原因）,承认并接受自己的不合理信念,鼓励自己重新评估自我价值，减少自我怀疑
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
,,,过度依赖外界,承认并接受自己的过度依赖,鼓励自己增强独立性，减少对外界的依赖
,,,代际传递,承认并接受自己的代际传递,鼓励自己寻找处理代际传递的方法
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（达不到他人期待）,承认并接受自己的焦虑,鼓励自己减少对外界期待的过度关注
,,,情绪：焦虑（生活不受控）,承认并接受自己的焦虑,鼓励自己提高对生活的掌控
,,,情绪：焦虑（不够独立）,承认并接受自己的焦虑,鼓励自己提高独立性，增强自信
,,,情绪：愤怒与怨恨（自主性被侵犯）,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,友情障碍,朋友,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,沟通障碍（不敢尝试表达）,承认并接受自己的沟通障碍,鼓励自己尝试表达，改善沟通
,,,猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
,,,信任问题,承认并接受自己的信任问题,鼓励自己建立信任，减少猜疑
,,,去人格化（对他人冷漠或消极的态度),承认并接受自己的去人格化,鼓励自己培养对他人的同理心
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,职场人际,工作,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,缺乏感恩的能力,承认并接受自己的不足,鼓励自己培养感恩的心态
,,,情感麻木,承认并接受自己的情感麻木,鼓励自己寻找处理情感麻木的方法
,,,猜疑（对对方负面想象）,承认并接受自己的猜疑,鼓励自己信任对方，减少负面想象
,,,去人格化（对他人冷漠或消极的态度),承认并接受自己的去人格化,鼓励自己培养对他人的同理心
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
,同辈竞争,"朋友,工作,学业,自己",自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,消极比较,承认并接受自己的消极比较,鼓励自己减少与他人比较，增强自信
,,,情绪波动,承认并接受自己的情绪波动,鼓励自己寻找情绪稳定的方法
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（未来发展）,承认并接受自己的焦虑,鼓励自己制定未来规划，逐步实现目标
,社交焦虑社交恐惧,"朋友,自己",自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,容貌焦虑,承认并接受自己的容貌焦虑,鼓励自己接受自己的外貌，减少对外貌的过度关注
,,,身材焦虑,承认并接受自己的身材焦虑,鼓励自己接受自己的身体，减少对外貌的过度关注
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,虚拟世界依赖,承认并接受自己的虚拟世界依赖,鼓励自己减少对虚拟世界的依赖，增强现实社交
,,,沟通障碍（不敢尝试表达）,承认并接受自己的沟通障碍,鼓励自己尝试表达，改善沟通
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,对人失去信心（恐惧再次受伤）,承认并接受自己的恐惧,鼓励自己增强心理韧性，减少对受伤的恐惧
,,,情绪：安全感缺失,承认并接受自己的不安,提醒自己有能力关怀保护自己，鼓励自己采取行动增强个人的安全感
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,被歧视,自己,自我价值感降低（自我怀疑）,承认和接受自己价值感降低,自我肯定
,,,社交隔离（无法开始重建社交）,承认并接受自己缺乏社交支持,接纳自己，包容他人，重建社交关系
,,,社交退缩,承认并接受自己的社交退缩,鼓励自己尝试社交，建立新的连接
,,,认知失调,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法
,,,不合理信念（觉得自己不正常）,承认并接受自己的不合理信念,鼓励自己重新评估自我认同，减少自我怀疑
,,,受辱敏感,承认并接受自己的受辱敏感,鼓励自己增强心理韧性，减少对外界评价的过度反应
,,,悲观,承认并接受自己的悲观情绪,鼓励自己寻找处理悲观情绪的方法
,,,情绪：无助感,承认并接受自己的无助感,鼓励自己寻求支持，增强自信
,,,情绪：孤立感,承认并接受自己的孤立感,鼓励自己寻求支持，建立新的社交连接
,,,情绪：愤怒与怨恨,承认并接受自己的愤怒与怨恨,鼓励自己寻找处理愤怒的方法
,,,情绪：焦虑（人际关系）,承认并接受自己的焦虑,鼓励自己改善人际关系，寻求支持
,,,情绪：焦虑（外部评价）,承认并接受自己受到了外部评价的影响,鼓励自己建立内在价值感与应对外部评价的策略
,,,情绪：焦虑（职业发展）,承认并接受自己的焦虑,鼓励自己制定职业规划，逐步实现目标
自我关怀,不重视自己的感受,"处在一段艰难的亲密关系中,家庭,朋友,工作,自己",忽视自身需求,承认并接受自己的忽视,鼓励自己重视自身需求
,,,情感压抑,承认并接受自己的情感压抑,鼓励自己表达内心情感
,,,情感麻木,承认并接受自己的情感麻木,鼓励自己寻找处理情感麻木的方法
