类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,接纳自己的不完美，减少自我批判，修正不合理的自卑情绪,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,设定增强内在自信的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式,简单-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,改变对自己的负面看法，增强自信,认知重构-增强自信,2,"[简单-主体自信式，简单-潜能承认式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,制定具体的目标以增强内在自信,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,自我价值,内在自信,用户因对自身能力或价值的怀疑，常陷入自我否定或犹豫不决的状态,建立内在自信，减少自我怀疑，肯定自我价值,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-价值锚定式]",,,,,,,,,,,
自我认知,夸夸,成长进步夸夸,用户因对自身成长进步的忽视，常表现为动力不足,高能量积极自我对话，回顾成长历程与正向反馈，激励自我，保持成长动力,认知重构-增强自信,2,[简单-主体自信式],,,,,,,,,,,
自我认知,夸夸,独特性夸夸,用户因对自身独特性的忽视或否定，常表现为从众心理,高能量积极自我对话，增强自我认同，接纳独特性,认知重构-增强自信,2,[简单-主体意义式，简单-独特价值宣言式],,,,,,,,,,,
自我认知,夸夸,内在特质夸夸,用户因对自身内在特质（如性格、品质）的忽视或否定，常表现为自信不足,高能量积极自我对话，增强对自己内在特质的自我认同，建立积极自我认知,认知重构-增强自信,2,"[简单-主体自信式，简单-独特价值宣言式,简单-价值锚定式,逻辑-价值锚定式]",,,,,,,,,,,
自我认知,夸夸,能力与成就夸夸,用户因对自身能力或成就的低估，常表现为自我怀疑,高能量积极自我对话，回顾过往成就与正向反馈，增强自信，认可自我价值,认知重构-增强自信,2,[简单-主体自信式，简单-潜能确认式],,,,,,,,,,,
自我认知,夸夸,外在特质夸夸,用户因对外在形象（如外貌、气质）的不满意，常表现为自我否定,高能量积极自我对话，提升自信，接纳外在形象,认知重构-增强自信,2,[简单-主体自信式],,,,,,,,,,,
通用场景,日常场景,起床,用户在早晨因生理惰性或心理抗拒难以启动一天计划，常表现为拖延或疲惫感,缓解早起时的抗拒感和疲惫感,情感安抚-情绪调节,1,[简单-情绪应对式],,,,,,,,,,,
通用场景,日常场景,起床,用户在早晨因生理惰性或心理抗拒难以启动一天计划，常表现为拖延或疲惫感,接纳偶尔赖床的行为，减少自我责备,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
通用场景,日常场景,起床,用户在早晨因生理惰性或心理抗拒难以启动一天计划，常表现为拖延或疲惫感,建立“今天充满可能性”的积极信念,认知重构-增强自信,2,[简单-积极感知式],,,,,,,,,,,
通用场景,日常场景,起床,用户在早晨因生理惰性或心理抗拒难以启动一天计划，常表现为拖延或疲惫感,通过简单动作启动起床流程（如喝一杯水）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
通用场景,日常场景,睡前,用户因未完成事项或负面情绪导致睡前思绪纷乱，常表现为失眠或焦虑,缓解一天结束时的思绪纷乱,情感安抚-情绪调节,1,[简单-情绪应对式],,,,,,,,,,,
通用场景,日常场景,睡前,用户因未完成事项或负面情绪导致睡前思绪纷乱，常表现为失眠或焦虑,接纳未完成事项，允许自己休息,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
通用场景,日常场景,睡前,用户因未完成事项或负面情绪导致睡前思绪纷乱，常表现为失眠或焦虑,强化“今日已尽力”、“明天是新的一天”等积极认知,认知重构-增强自信,2,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
通用场景,日常场景,睡前,用户因未完成事项或负面情绪导致睡前思绪纷乱，常表现为失眠或焦虑,通过睡前仪式（如冥想）平静身心,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
通用场景,日常场景,娱乐,用户因过度娱乐产生愧疚感，或因压抑娱乐需求导致心理失衡，常表现为情绪波动,减少因娱乐产生的愧疚感,情感安抚-情绪调节,1,[简单-情绪应对式],,,,,,,,,,,
通用场景,日常场景,娱乐,用户因过度娱乐产生愧疚感，或因压抑娱乐需求导致心理失衡，常表现为情绪波动,接纳娱乐作为生活的必要组成部分,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
人际关系,社交场景,被歧视,用户因身份标签（如性别、种族）遭受不公平对待，常表现为自尊心受挫或愤怒,维护自尊与自我价值,认知重构-增强自信,2,[简单-外源锚定式，简单-主权宣告式，权力意志-对抗超升式],,,,,,,,,,,
人际关系,社交场景,被歧视,用户因身份标签（如性别、种族）遭受不公平对待，常表现为自尊心受挫或愤怒,寻求支持与归属,社会联结-增强归属感,2,[简单-爱之循环式],,,,,,,,,,,
人际关系,社交场景,被歧视,用户因身份标签（如性别、种族）遭受不公平对待，常表现为自尊心受挫或愤怒,应对不公与愤怒,存在勇气激发-接纳存在孤独,2,"[简单-主体意义式,简单-独特价值宣言式,权力意志-对抗超升式]",,,,,,,,,,,
人际关系,社交场景,被歧视,用户因身份标签（如性别、种族）遭受不公平对待，常表现为自尊心受挫或愤怒,行动对抗歧视，倡导平等,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,社交场景,敏感,用户容易受到他人评价的影响，担心自己的言行是否得体，常因此感到紧张或不安,增强“敏感是一种很特别的能力”的思想，避免自我否定,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
人际关系,社交场景,敏感,用户容易受到他人评价的影响，担心自己的言行是否得体，常因此感到紧张或不安,建立心理边界，提醒自己他人评价非自我定义,认知重构-失败脱敏,2,[简单-主权宣告式],,,,,,,,,,,
人际关系,社交场景,敏感,用户容易受到他人评价的影响，担心自己的言行是否得体，常因此感到紧张或不安,减少自我批判,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
人际关系,社交场景,敏感,用户容易受到他人评价的影响，担心自己的言行是否得体，常因此感到紧张或不安,转化敏感为创造力,意义构建-寻找生命意义,2,"[简单-主体意义式,简单-经历意义式,简单-独特价值宣言式]",,,,,,,,,,,
人际关系,社交场景,内向,用户喜欢独处或与少数亲密朋友交流，在大型社交活动中常感到疲惫或不适,接纳内向特质,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
人际关系,社交场景,内向,用户喜欢独处或与少数亲密朋友交流，在大型社交活动中常感到疲惫或不适,提升社交信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,社交场景,内向,用户喜欢独处或与少数亲密朋友交流，在大型社交活动中常感到疲惫或不适,渐进式社交适应，减少社交焦虑,行为驱动-习惯养成,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,社交场景,内向,用户喜欢独处或与少数亲密朋友交流，在大型社交活动中常感到疲惫或不适,提醒自己独处的价值与社交的意义，平衡独处与社交需求,动机唤醒-价值联结,2,[简单-爱之循环式],,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,缓解社交场合中的紧张情绪,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,接纳社交中的不完美表现，接纳社交环境,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,设定渐进式社交挑战目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,增强对社交能力的信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,制定具体社交训练计划（如每周一次小型社交）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,通过实践逐步适应社交场景,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,社交场景,社交焦虑,用户因社交表现焦虑或内向特质回避社交，常表现为社交场合紧张或退缩,完成社交能力提升的里程碑,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,缓解冲突引发的愤怒或恐惧,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,接纳冲突是关系发展的必经过程，接纳人际环境,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,设定冲突解决的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,修正“冲突必然破坏关系”的负面认知，强化“我有解决冲突的勇气”等思想,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,制定理性沟通的具体步骤,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,通过行动实践解决冲突（如主动道歉）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,人际关系,冲突解决,用户因冲突引发的愤怒或恐惧阻碍关系发展，常表现为关系僵化,达成冲突化解的明确成果,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,缓解家庭矛盾引发的情绪压力,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,接纳家庭成员的不同观点，接纳自己的家庭,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,设定家庭沟通的和谐的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,修正“必须改变家人”的执念，强化“我可以与家人和谐相处”的观点,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,制定改善家庭关系的具体步骤,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,通过主动对话减少隔阂,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,人际关系,家庭关系,用户因代际观念差异或家庭矛盾产生压力，常表现为沟通不畅或情绪压抑,完成家庭互动的积极尝试（如共同完成家务）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,缓解因朋友疏远或误会误解而产生的失落感,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,接纳友谊变化的自然规律,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,设定维护友谊的合理目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,增强主动维系关系的信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,制定定期联系朋友的具体计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,通过小行动增进友情（如发送关怀消息）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,人际关系,朋友关系,用户因友谊疏远或误会产生失落感，常表现为情感联结减弱,达成友谊深化的关键行动（如组织聚会）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,缓解职场人际压力引发的焦虑,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,接纳职场中的人际差异,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,设定建立职场沟通边界的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,增强处理职场矛盾的信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,制定职业关系优化的策略（如定期反馈）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,通过主动协作改善同事关系,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,人际关系,职场关系,用户因职场竞争、沟通边界模糊或人际差异引发焦虑，常表现为职场压力过大,完成团队合作的关键任务,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,采取实际行动增进彼此之间的了解,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,完成设定的情感表达目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,理解并接受自己对某人的暗恋情绪，减轻慌张和焦虑,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,接纳自己的暗恋情绪，不因此感到羞愧或不安,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,逐步克服暗恋中的被动状态，设定情感表达的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,增强自信，认为自己值得被爱，并有勇气向心仪的对象表达自己的感受,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,制定寻找和维持健康关系的具体计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,缓解因争吵引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,接纳关系中存在分歧的常态性,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,设定冲突解决的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,增强对关系修复的信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,制定改善互动的具体计划（如每日倾听10分钟）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,通过实际行动增进理解（如写感恩日记）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,达成关系改善的里程碑（如成功化解一次矛盾）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,减轻被情感操控后的痛苦情绪,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,接受自己曾经被操控的事实，减少自我责备,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,设定恢复自尊心的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,改变对自己价值的认知，更加自信,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,制定重建自我价值的具体计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,采取实际行动恢复自信和自尊,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,实现自我价值恢复的目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,缓解因情感忽视引发的孤独感,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
