序号,自我肯定语,合集,合集理由,权重,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
286,我能平和地表达自己，不做无谓的争执。,"['平静内心', '人际交往']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'的原因是这句话强调的是平和表达和避免无谓争执，而不是情感失落或疗愈，所以不太适合刚分手的用户。不放'有点辛苦的暗恋'的原因是这句话强调的是平和表达和避免争执，而暗恋中的人可能更需要勇气和主动，而不是避免争执。,"['一般', '不好', '糟糕']",['自己'],自我肯定语'我能平和地表达自己，不做无谓的争执'倾向于个人内心的平和和自我表达，与'一般'情感状态相匹配，因为它既不涉及强烈的积极情绪，也不涉及强烈的消极情绪。同时，该肯定语表达了一种避免冲突的态度，可能与'不好'和'糟糕'情感状态相关，因为这些状态可能需要避免争执以寻求内心的平和。没有选择'开心'和'很好'的标签，因为该肯定语没有明显的积极情绪倾向；没有选择'家庭'、'朋友'、'工作'、'健康'、'感情'、'学业'的标签，因为该肯定语并未直接涉及这些因素。,,,,,,
287,我能平静地面对不公。,"['平静内心', '自信', '艰难时刻']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未体现滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'标签的理由：这句话强调的是面对不公时的平静态度，而'最近刚分手'的用户可能更多需要的是情感上的疗愈和释怀，与这句话的主题不完全契合。不放'有点辛苦的暗恋'标签的理由：这句话主要涉及面对不公的态度，而'有点辛苦的暗恋'的用户更多需要的是在人际关系上的勇气和主动，与这句话的主题关联不大。,"['不好', '糟糕']",['自己'],该自我肯定语表达了面对不公时的平静态度，这通常与个人情绪调节和自我关怀相关，因此适合【不好】和【糟糕】的情感状态。句子中没有提及家庭、朋友、工作、健康、感情或学业等外部因素，所以只选择了【自己】作为相关因素。,,,,,,
288,今天我能原谅自己的不足。,"['原谅', '平静内心']","{'未选合集及理由': {'个人成长': '语句未聚焦个人能力提升或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",该自我肯定语适合所有感情状况的用户，因为它强调的是个人成长和自我接纳，与感情状况无关。,"['不好', '糟糕']",['自己'],该自我肯定语强调原谅自己的不足，更偏向于个人自我关怀和自我接纳，因此选择'自己'作为相关因素。句子没有涉及家庭、朋友、工作、健康、感情或学业等其他因素，所以不放这些标签。,,,,,,
289,今天我又坚持了，这很好。,"['艰难时刻', '积极心态']","{'未选合集及理由': {'平静内心': '语句未聚焦于寻找心理宁静的需求。', '抗击抑郁': '语句未涉及低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人坚持和自我肯定，与情感失落和关系矛盾的情境不匹配；不放'有点辛苦的暗恋'的理由是，这句话没有涉及人际交往或勇气，而是关于个人坚持和自我肯定。,"['开心', '很好', '一般']",['自己'],这句话表达了坚持和积极的情绪，所以不适合【不好】和【糟糕】的情感状态。句子中没有提及家庭、朋友、工作、健康、感情或学业，所以只选择【自己】作为相关因素。,,,,,,
290,我的感受值得被认真对待。,"['自我关怀', '人际交往', '我很好']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",这句话适合所有感情状态的用户。'我的感受值得被认真对待'强调了个人感受的重要性，适用于所有感情状态。,"['不好', '糟糕']",['自己'],该自我肯定语强调个人感受的重要性，适合于需要被认真对待和支持的用户，因此适合不好和糟糕的情感状态。开心和很好的状态不需要这种肯定，所以不放。家庭、朋友、工作、健康、感情和学业等因素没有在句子中提及，所以不放。,,,,,,
291,我珍惜此刻，准备迎接即将到来的每一个瞬间。,"['积极心态', '追梦无悔']","{'未选合集及理由': {'个人成长': '语句未强调学习和进步，而是对当前时刻的珍视和对未来的开放态度。', '自信': '虽然句子表达了一种积极的态度，但并未直接强调自我信任或能力。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是珍惜现在和准备迎接未来，对于刚分手的人来说，可能更需要的是疗愈和释怀，而不是准备迎接未来；对于处在艰难关系中的人来说，这句话可能无法直接解决他们当前的问题。不放'有点辛苦的暗恋'的理由是，这句话没有直接涉及到暗恋中的人需要的勇气和人际交往。,"['很好', '一般']",['自己'],自我肯定语中提到'珍惜此刻'和'准备迎接即将到来的每一个瞬间'，表达了积极乐观的情绪，适合推送给'很好'和'一般'状态的用户。句子中没有明显涉及家庭、朋友、工作、健康、感情、学业等外部因素，所以选择'自己'作为影响情绪的因素。,,,,,,
292,我选择乐观，困难自有解决方案。,['积极心态'],"{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手的用户可能需要更多关于情感疗愈和释怀的自我肯定语，而这句话更侧重于面对困难时的乐观态度和解决方案，因此不放这个标签。,"['很好', '一般']",['自己'],这句话是积极的自我肯定，表达了乐观和对困难有解决方案的信心，所以适合推送给情感状态为'很好'和'一般'的用户。不适合'不好'和'糟糕'的用户，因为这些状态需要更多的安慰和支持，而这句话更倾向于鼓励和自信。'开心'的用户也可能喜欢这种积极的自我肯定，但没有选择，因为句子中没有明显的开心元素。,,,,,,
293,我正在走出过去的阴影。,"['抗击抑郁', '个人成长', '勇气']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['最近刚分手', '单身但准备好了开始新的恋情']",不放'正在恋爱'的原因是该自我肯定语表达了走出过去阴影的愿望，与正在享受甜蜜恋情的状态不符；不放'处在一段艰难的亲密关系中'的原因是该自我肯定语强调的是个人从过去的经历中恢复和前进，而不是解决当前关系中的问题；不放'快乐地单身着'的原因是该自我肯定语更侧重于从过去的阴影中走出来，而不是享受单身生活；不放'有点辛苦的暗恋'的原因是该自我肯定语没有涉及到暗恋的情感状态。,"['不好', '糟糕']",['自己'],不放'开心'和'很好'的标签，因为句子'我正在走出过去的阴影'表达了一种从负面状态中恢复的过程，这与'开心'和'很好'所代表的积极情绪不符。不放'家庭'、'朋友'、'工作'、'健康'、'感情'和'学业'的标签，因为句子中没有明确提及这些因素，而是更偏向于个人内心的转变和自我恢复。,,,,,,
295,我对自己的爱不需要条件。,"['爱自己', '自尊心']","{'未选合集及理由': {'个人成长': '语句未涉及成长或学习过程。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情', '最近刚分手']",不放'处在一段艰难的亲密关系中'和'有点辛苦的暗恋'的理由：这句话强调的是无条件的自爱，而处在一段艰难的亲密关系中和有点辛苦的暗恋通常涉及到对伴侣或暗恋对象的情感依赖和条件性，与无条件自爱的主题不完全契合。,"['一般', '不好', '糟糕']",['自己'],该自我肯定语强调无条件的自爱，适合一般、不好和糟糕的情感状态。句子没有涉及家庭、朋友、工作、健康、感情、学业等外部因素，因此只选择'自己'。,,,,,,
294,我每天都会有新的希望。,"['积极心态', '追梦无悔']","{'未选合集及理由': {'个人成长': '语句虽有积极含义，但未明确涉及成长或进步的过程。', '自信': '句子未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。'}}",,,,,,"['正在恋爱', '最近刚分手', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'处在一段艰难的亲密关系中'的理由是这句话传递的是积极向前的态度，而处在一段艰难的亲密关系中的人可能更需要解决矛盾和挣扎，而不是单纯的希望。不放'有点辛苦的暗恋'的理由是这句话强调的是个人每天的希望和积极态度，而辛苦的暗恋可能需要更多关于勇气和人际交往的建议，而不是单纯的希望。,"['开心', '很好', '一般']",['自己'],该自我肯定语表达了积极的情绪和对未来的乐观态度，适合推送给情感状态为开心、很好和一般的用户。句子中没有提及家庭、朋友、工作、健康、感情和学业等因素，因此只选择了'自己'作为相关因素。,,,,,,
296,我相信今天会有更多的可能发生。,"['积极心态', '追梦无悔']","{'未选合集及理由': {'个人成长': '语句未强调学习和进步的主题。', '自信': '虽然语句包含积极情绪，但未直接强调自我信任或能力。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话表达了积极的期待和对可能性的信仰，而这两个状态的用户可能更多地需要疗愈和对过去关系的释怀。不放'有点辛苦的暗恋'的理由是，这句话没有直接涉及人际交往或勇气，而是更侧重于个人对未来的积极期待。,"['开心', '很好', '一般']",['自己'],该自我肯定语表达了对未来的积极期待和自信，适合推送给情感状态为开心、很好和一般的用户。句子中没有涉及家庭、朋友、工作、健康、感情和学业等因素，因此只选择'自己'标签。,,,,,,
297,我选择用行动证明价值。,"['点燃动力', '积极心态', '事业成功']","{'未选合集及理由': {'个人成长': '语句更强调行动力而非成长过程。', '自信': '虽然涉及行动力，但未直接强调自我信任。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这两个状态更倾向于情感上的失落和挣扎，而这句话强调的是行动和价值证明，与这两个状态的情感主题不匹配。不放'有点辛苦的暗恋'的理由是，这句话强调的是行动和价值证明，而暗恋状态更侧重于情感上的挣扎和勇气，与这句话的主题不完全吻合。,"['很好', '开心']",['自己'],这句话是自我肯定语，表达了通过行动证明自己价值的积极态度，适合开心和很好的情感状态。句子没有涉及家庭、朋友、工作、健康、感情和学业等其他因素，所以只选择了'自己'标签。,,,,,,
298,我在原谅中找到前行的力量。,"['原谅', '勇气']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '个人成长': '未涉及个人发展或自我超越。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['最近刚分手', '处在一段艰难的亲密关系中']",不放'正在恋爱'的理由是这句话强调的是原谅和前行的力量，与正在恋爱中的甜蜜和稳定关系不匹配；不放'快乐地单身着'的理由是这句话强调的是原谅和前行，而快乐地单身着更强调享受独处和自我成长；不放'单身但准备好了开始新的恋情'的理由是这句话更强调原谅和疗愈，而单身但准备好了开始新的恋情更强调对新恋情的期待和开放；不放'有点辛苦的暗恋'的理由是这句话更强调原谅和疗愈，而有点辛苦的暗恋更强调勇气和人际交往。,"['不好', '糟糕']",['自己'],该自我肯定语'我在原谅中找到前行的力量'表达了通过原谅自己或他人来获得力量和前行的动力，因此更偏向于个人内心的转变和自我成长，所以选择了'自己'标签。句子中没有明确提及家庭、朋友、工作、健康、感情或学业等具体因素，因此其他标签均未选择。,,,,,,
299,我接纳自己现在的感觉，也相信我会好起来。,"['平静内心', '抗击抑郁', '自我关怀', '我很好']","{'未选合集及理由': {'个人成长': '语句未强调学习或进步，而是关注当前情绪状态的接纳和未来好转的信念。', '自信': '未强调自我信任或面对挑战的能力，而是关注当前情绪的接纳。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳，而是关注情绪的恢复和好转。', '积极心态': '未强调乐观思维或积极感知，而是关注情绪的接纳和恢复。', '愉悦心情': '不涉及日常愉悦感知，而是关注情绪的接纳和好转。', '焕发生命力': '未关注唤醒内在活力或潜能，而是关注情绪的接纳和恢复。', '点燃动力': '不涉及突破行动瓶颈或意志召唤，而是关注情绪的接纳和好转。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '最近刚分手', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",这句自我肯定语适合多个感情状况的用户。'我接纳自己现在的感觉，也相信我会好起来'表达了对当前情感状态的接纳和对未来的积极期待。因此，这句话适合正在恋爱的人（接纳当前的甜蜜关系，期待未来的美好），最近刚分手的人（接纳分手带来的情感，期待未来能好起来），处在一段艰难的亲密关系中的人（接纳当前的困境，期待关系能好转），快乐地单身着的人（接纳单身状态，期待未来可能的恋情），以及单身但准备好了开始新的恋情的人（接纳单身状态，期待新恋情的到来）。,"['不好', '一般', '糟糕']",['自己'],自我肯定语中提到接纳自己的感觉和相信自己会好起来，这表明用户可能处于不好或糟糕的情绪状态，同时句子中没有提及家庭、朋友、工作、健康、感情、学业等外部因素，所以只选择'自己'作为相关因素。,,,,,,
