序号,自我肯定语,合集,合集理由,权重,曝光点赞率,不感兴趣次数,是否短断句,生产者,感情状况,感情状况理由,最近的感觉,什么让你有这种感觉,最近的感觉理由,场景,子场景,用户需求,心理作用机制与功能,句子级别,备注
4388,我不服输。,"['自信', '勇气', '点燃动力']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '单身但准备好了开始新的恋情']",自我肯定语“我不服输”表达了一种积极、坚定的态度，适合正在恋爱中的人，他们可能需要这种精神来维护和加强关系；处在一段艰难的亲密关系中的人可能需要这种不服输的精神来克服困难；单身但准备好了开始新的恋情的人也需要这种态度来面对可能的挑战。而快乐地单身着的人可能更注重享受单身生活，而不是强调不服输；最近刚分手的人可能需要疗愈和释怀，而不是强调竞争和不服输；有点辛苦的暗恋的人可能需要更多关于勇气和主动的句子，而不是强调不服输。,"['一般', '不好']",['自己'],该自我肯定语表达了不服输的坚定态度，适合一般情绪状态的用户，因为他们可能需要这种自信来应对日常生活中的挑战。同时，对于不好情绪状态的用户，这种自我肯定语可以提供鼓励和支持，帮助他们克服困难。句子中没有明确提及家庭、健康、感情等因素，因此选择'自己'作为相关因素。,,,,,,
4389,我所追求的东西，会以意想不到的方式出现在我的生命里。,"['积极心态', '追梦无悔']","{'未选合集及理由': {'个人成长': '语句未强调学习和进步，而是关注于结果的意外出现。', '自信': '虽然语句传达了一种积极的信念，但未直接强调自我信任或能力。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '勇气': '虽然语句传达了一种积极的信念，但未直接强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '单身但准备好了开始新的恋情']",不放'最近刚分手'是因为该自我肯定语强调的是积极期待和未来的可能性，而'最近刚分手'的用户可能更多关注于情感疗愈和释怀。不放'处在一段艰难的亲密关系中'是因为该自我肯定语没有直接涉及改善关系或解决矛盾。不放'快乐地单身着'是因为该自我肯定语更多强调对新恋情的期待，而'快乐地单身着'的用户可能更享受单身状态。不放'有点辛苦的暗恋'是因为该自我肯定语没有直接涉及暗恋者的情感状态或行动。,"['开心', '很好']",['自己'],这句话表达了一种乐观和积极的态度，认为所追求的东西会以意想不到的方式出现，给人以希望和动力，因此更适合开心和很好的情感状态。这句话没有提到家庭、健康、感情等其他因素，所以只选择了'自己'这个标签。,,,,,,
4390,我会把梦想变成现实。,"['个人成长', '追梦无悔', '点燃动力', '事业成功']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '虽有积极意味，但更侧重于行动和目标实现。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '擦拭信念': '未涉及信念重塑或理想追求。', '自信': '虽有自信意味，但更侧重于行动和目标实现。', '勇气': '虽有勇气意味，但更侧重于行动和目标实现。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人梦想和目标的实现，与感情状态的失落和困难没有直接关联。不放'有点辛苦的暗恋'的理由是，这句话没有涉及人际交往或勇气的表达，而是更侧重于个人目标的实现。,"['开心', '很好']",['自己'],该自我肯定语表达了将梦想变为现实的决心和自信，适合推送给情感状态为开心和很好的用户。句子中没有提及家庭、朋友、工作、健康、感情或学业等具体因素，因此只选择与自信相关的'自己'标签。,,,,,,
4391,我并不需要说服别人来理解我。,"['自尊心', '人际交往']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",自我肯定语“我并不需要说服别人来理解我”强调的是自我认同和独立性。对于“正在恋爱”和“处在一段艰难的亲密关系中”的用户来说，这句话可能不太适用，因为他们可能更关注与伴侣之间的理解和沟通。对于“最近刚分手”的用户，虽然他们可能需要自我认同，但这句话更多强调的是独立性，而不是疗愈或释怀。对于“有点辛苦的暗恋”的用户，这句话可能不太适合，因为他们可能更关注如何获得对方的理解和认可，而不是自我认同。,['一般'],['自己'],该自我肯定语表达了一种自我接纳和独立的态度，没有明显的积极情绪或满足感，因此不适合【开心】和【很好】；同时，也没有明显的消极情绪或需要安慰的迹象，因此不适合【不好】和【糟糕】。句子中没有提及家庭、朋友、工作、健康、感情或学业等外部因素，而是强调了自我认知和自我价值，所以选择了【自己】标签。,,,,,,
4392,我会成为自己想成为的人,"['个人成长', '积极心态', '自信', '追梦无悔']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '勇气': '虽然语句有积极意味，但未明确涉及面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人成长和自我实现，而这两个感情状况更多涉及情感失落和关系矛盾。不放'有点辛苦的暗恋'的理由是，这句话没有涉及人际交往和勇气，而'有点辛苦的暗恋'需要这方面的内容。,"['很好', '开心']",['自己'],这句话表达了自信和个人成长的愿望，适合推送给情感状态为'开心'和'很好'的用户。句子中没有提到家庭、朋友、工作、健康、感情或学业相关的内容，所以不选择这些标签。,,,,,,
4393,我在创造关于自己的史诗。,"['个人成长', '自信', '追梦无悔']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '语句更侧重个人成长和自我实现，非简单的积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",不放'正在恋爱'是因为这句话强调的是个人的成长和自我实现，而不是与伴侣的关系。不放'最近刚分手'和'处在一段艰难的亲密关系中'是因为这句话没有涉及到情感失落或关系中的矛盾，而是强调个人的力量和成长。不放'有点辛苦的暗恋'是因为这句话没有涉及到对爱情的期待或人际交往的主动，而是强调个人的成长和自我实现。,"['开心', '很好']",['自己'],该自我肯定语表达了自信和力量感，适合推送给感觉开心和很好的用户。句子中没有提到家庭、朋友、工作、健康、感情、学业等因素，所以只选择'自己'作为相关因素。,,,,,,
4394,我会找到自己的人生节奏。,"['个人成长', '积极心态', '点燃动力']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",这句话强调个人节奏和自我探索，适合那些正在寻找个人生活方向和节奏的人。因此，它适合那些快乐地单身着的人，因为他们可能正在寻找或享受自己的生活节奏。同样，对于那些单身但准备好了开始新的恋情的人来说，这句话也适合，因为他们可能在寻找合适的伴侣之前，正在寻找自己的节奏。这句话不太适合那些正在恋爱中的人，因为他们可能已经找到了与伴侣的共同节奏，不太适合那些刚分手或处在一段艰难的亲密关系中的人，因为他们可能更关注关系中的问题，而不是个人节奏。,"['很好', '一般']",['自己'],自我肯定语'我会找到自己的人生节奏'表达了一种积极向上的态度和对未来的信心，适合推送给情感状态为'很好'和'一般'的用户。该句子没有涉及家庭、朋友、工作、健康、感情和学业等外部因素，而是强调自我认知和自我激励，所以只选择了'自己'作为相关因素。,,,,,,
4395,其他人无权评价我的是非对错。,"['自尊心', '人际交往']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'有点辛苦的暗恋'的理由：这句话强调的是个人的自主性和不受他人评价的权利，对于'最近刚分手'的用户来说，虽然可能需要自我肯定，但这句话并没有直接关联到情感失落和疗愈的主题。对于'有点辛苦的暗恋'的用户，这句话没有直接关联到鼓励人际交往和主动性的主题。,"['一般', '不好', '糟糕']",['自己'],该自我肯定语强调个人自主权和自尊，适用于一般情感状态的用户，因为他们可能需要提醒自己不受他人评价的影响。同时，该句子也适用于不好和糟糕情感状态的用户，因为他们可能因为他人的负面评价而感到受伤或自我怀疑。句子中没有明确提及家庭、朋友、工作、健康、感情或学业等具体因素，因此选择'自己'作为相关因素。,,,,,,
4396,我是历史的一部分，值得被珍惜。,"['擦拭信念', '我很好']","{'未选合集及理由': {'个人成长': '语句没有明确指向个人发展或学习进步。', '自信': '虽然句子有正面的自我肯定，但未强调自我信任或能力。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '快乐地单身着', '单身但准备好了开始新的恋情']",不放'最近刚分手'和'处在一段艰难的亲密关系中'的理由是，这句话强调的是个人价值和自我肯定，而'最近刚分手'和'处在一段艰难的亲密关系中'更侧重于情感失落和关系矛盾，与这句话的语义不完全匹配。不放'有点辛苦的暗恋'的理由是，这句话没有涉及人际交往和勇气，而是强调个人的价值和自我肯定。,"['很好', '一般']",['自己'],自我肯定语表达了一种自信和自我价值感，适合推送给情感状态为'很好'和'一般'的用户。'开心'和'糟糕'的情感倾向与该自我肯定语不太匹配，因此没有选择。,,,,,,
4397,我会像爱自己一样爱其他人。,"['亲密关系', '人际交往', '自我关怀']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '自信': '未强调自我信任或能力肯定。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '我很好': '不涉及自我状态的简单确认。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '单身但准备好了开始新的恋情']",不放'最近刚分手'是因为这个自我肯定语是关于如何爱别人，而不是处理分手的情感；不放'处在一段艰难的亲密关系中'是因为这个自我肯定语强调的是平等的爱，而不是解决关系中的矛盾；不放'快乐地单身着'是因为这个自我肯定语关注的是如何爱别人，而不是享受单身；不放'有点辛苦的暗恋'是因为这个自我肯定语强调的是平等的爱，而不是暗恋中的单方面情感。,"['很好', '开心']",['自己'],自我肯定语'我会像爱自己一样爱其他人'表达了一种积极的自我关怀和对他人的关爱，适合推送给情感状态为'开心'和'很好'的用户。这句话没有涉及家庭、朋友、工作、健康、感情或学业等外部因素，而是强调自我肯定和对他人的爱，所以选择了'自己'作为相关因素。,,,,,,
4398,我的存在自有意义。,"['擦拭信念', '我很好', '自信']","{'未选合集及理由': {'个人成长': '语句未强调学习和进步，而是关于存在的意义。', '艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['正在恋爱', '处在一段艰难的亲密关系中', '快乐地单身着', '单身但准备好了开始新的恋情', '有点辛苦的暗恋']",最近刚分手的用户可能需要更多关于疗愈和释怀的自我肯定语，而这句话强调的是个人存在的意义，可能对刚经历分手的用户来说，并不是最直接相关或最需要的自我肯定语。,"['一般', '很好']",['自己'],该自我肯定语表达了自信和自我价值，适合推送给情感状态为'一般'和'很好'的用户。句子中没有涉及家庭、朋友、工作、健康、感情和学业等外部因素，因此只选择了'自己'标签。,,,,,,
4399,没有无法承受的痛苦，只有我暂时无法理解的祝福。,"['平静内心', '抗击抑郁', '我很好']","{'未选合集及理由': {'个人成长': '语句未涉及个人发展或学习进步。', '自信': '虽然语句传达了一种内在的力量，但未明确强调自我信任或能力。', '艰难时刻': '语句不涉及面对困难或挑战时的坚韧和希望。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '未直接涉及自我滋养或自我照顾。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '自尊心': '未强调自身价值体系的稳固。', '积极心态': '未强调乐观思维或积极感知。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '未强调面对挑战时的勇气召唤。'}}",,,,,,"['最近刚分手', '处在一段艰难的亲密关系中']",这句话强调了对痛苦的积极解读，适合正在经历情感挑战的用户。'正在恋爱'和'快乐地单身着'的用户通常处于比较积极的情感状态，不太需要这种对痛苦的积极解读。'单身但准备好了开始新的恋情'的用户虽然单身，但他们对新恋情持开放态度，更多关注未来而非过去的痛苦。'有点辛苦的暗恋'的用户虽然经历情感挑战，但这句话没有直接提及勇气或主动，可能不是最佳选择。,"['不好', '糟糕']",['自己'],自我肯定语中提到的'没有无法承受的痛苦，只有我暂时无法理解的祝福'表达了一种面对困难时的积极态度和自我鼓励，适合推送给感到'不好'和'糟糕'的用户，帮助他们调整心态，看到困境中的积极面。该句子主要强调个人的内心感受和自我认知，所以选择了'自己'作为相关因素。'开心'和'很好'的标签不适用，因为句子中并没有明显的积极情绪或满足感；'家庭'、'朋友'、'工作'、'健康'、'感情'和'学业'的标签也不适用，因为句子中没有提及这些具体的外部因素。,,,,,,
4400,我不将就。,"['自尊心', '自信', '个人成长', '积极心态']","{'未选合集及理由': {'艰难时刻': '语句不涉及自我安抚或情绪困境的接纳。', '平静内心': '不符合寻找心理宁静的需求。', '抗击抑郁': '语句未聚焦低落情绪的恢复。', '心碎疗愈': '无情感伤害或关系修复内容。', '自我关怀': '无直接关于滋养自我的表达。', '减压放松': '未体现压力释放或当下放松意图。', '感恩练习': '不涉及感恩或资源觉察内容。', '爱我的身体': '无身体相关的觉察或积极接纳表达。', '爱自己': '未明确传达无条件自我认同。', '我很好': '不涉及自我状态的简单确认。', '愉悦心情': '不涉及日常愉悦感知。', '焕发生命力': '未关注唤醒内在活力或潜能。', '点燃动力': '不涉及突破行动瓶颈或意志召唤。', '拥抱女性身份': '无女性身份相关内容。', '女性力量': '未涉及抗争/主权意识建构。', '亲密关系': '语句未指向关系修复或信任建设。', '人际交往': '未关注社交掌控感或边界维护。', '爱家人': '未提及家庭成员或家庭关系。', '原谅': '无关于宽恕他人或自我原谅的内容。', '事业成功': '无职业发展或成就目标导向。', '擦拭信念': '未涉及信念重塑或理想追求。', '追梦无悔': '未体现追梦或不懈努力情境。', '勇气': '虽然语句传达了坚定的态度，但未明确涉及面对挑战时的勇气召唤。'}}",,,,,,"['快乐地单身着', '单身但准备好了开始新的恋情']",不放'正在恋爱'是因为该自我肯定语强调不将就，而处于恋爱中的人可能已经做出了选择，不符合语境；不放'最近刚分手'是因为该自我肯定语更多体现对未来的期待，而刚分手的人可能更多需要疗愈和释怀；不放'处在一段艰难的亲密关系中'是因为该自我肯定语强调不将就，而处于艰难关系中的人可能更多需要解决矛盾和困惑；不放'有点辛苦的暗恋'是因为该自我肯定语强调不将就，而暗恋中的人可能更多需要勇气和主动。,"['一般', '不好']",['自己'],该自我肯定语表达了一种不妥协、不将就的态度，适合那些对自己有要求、不满足于现状的用户。它更倾向于【一般】和【不好】的情感状态，因为这些用户可能正面临挑战或不满，需要自我激励和肯定。【开心】和【很好】的用户可能已经比较满意现状，不太需要这种自我肯定。【糟糕】的情感状态过于消极，可能需要更多的安慰和支持，而不是自我肯定。该句子主要强调个人态度和自我要求，与【家庭】、【朋友】、【工作】等因素关系不大，因此选择【自己】作为相关因素。,,,,,,
