用户问题/症状,用户1级需求,用户2级需求,自我肯定语,生产者,参考需求,反思日志,zhihu_link
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,光纤脉搏中我感知古今风速此刻正织未来的云端彩翼,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,在心跳的数据海洋里我握紧时光之舵正航向未来无迹可寻,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在光纤的经络中触及历史的粒子此刻编织未来的基因编码,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在数字森林捕梦织网此刻拥抱未来远景正绽放希望之光,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,从心脉冲起数据波纹我正编写未来篇章时不我待,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在攀缘云端根系触摸未来的同时感知过去生长的脉络,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我把握紧Wi-Fi信号的触感与历史重逢正编织现在的温暖,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我划过时间的浏览器在刷新记忆的过程中迸发光点引领前行,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在数据萤火中穿梭徘徊于星光汇聚处编织未知的序章,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我沿着光纤的轨迹追溯过往未来的光芒正投影在此刻的屏幕上,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我以鼠标点击重启过去现在正构建未来的历史基因编码光明,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在读取算法的记忆时未来已在昨日的土壤中种下今天的种子,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正下载智慧的数据包在信息流中触碰古今交融的时刻,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在编码自我的程序中昨日的教训转化为今日智慧之光芒,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我以心跳的节奏触摸着无限连线的希望每一瞬间都是新的开始,3号,1级需求: 提醒自己未来是不可知的,1级需求: 提醒自己未来是不可知的,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我是触及痛点后实时更新我在未来的自我疗愈程序,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在触摸流年之际将情绪模板轻植入数据萤火之中,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在星辰轨迹里握紧无线的自我价值之链,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,自我面镜在时间河流中流转映见未来希冀的倒影,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在记忆神经元间编写我的自我救赎脚本,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,感受到电子脉搏的跳动我还在学习如何与过往和解,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我是通过呼吸探针织进了宇宙记忆的絮语,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我断电再启动展望着属于明天的自我接纳盛典,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我以云端根系的节律与自身不满和解再生长,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在刷新命运的数据页此刻触摸历史的脉搏编织着未来的算法,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我将信念刻录在云端此刻将过往的碎片转化为前行的光谱,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我握紧时光的Wi-Fi信号此刻在信息浪潮中探索自我重塑的道路,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在数字海洋中航行把昨日的恐惧当作燃料点亮今日希望的灯塔,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正在量子隧道中穿行用过去的教训灌溉现在的选择为盛开的未来做准备,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在加密现实中播下希望的种子等时间的算法揭示未来的地形,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,在万物互联的早晨我正编织自我网络每一个连接都是通往明天的桥梁,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正重新编码自我历程昨日的影子今日的阳光和未来的地图在我的指尖舞动,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我握紧心中的Wi-Fi信号在记忆的云层中寻找连接未来的节点,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在世界的硬盘上写入今天的新章节同时更新过去的编码绘制未来的蓝图,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我触摸着屏幕边缘感受指尖下的电流穿梭于彼此记忆中织起绿色希望,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我握紧着Wi-Fi信号源自过去的光芒指引未来此刻我正诉说变革的篇章,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我迎面走进数据萤火编织的未来之路梦境与现实在指尖交缠述说黎明的序曲,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我抽取云端根系深处的信息片段此刻编织希望的基因编码是我坚信的未来,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我点击时光的回放键过去的画面正加载此刻心灵的平衡是我触摸明天的画笔,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在沟通明日的使者中解析此刻的情绪信号是编织昨日和弦的和声,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我调整着光年频率捕捉着过往的频率脉冲是我和未来对话的语言,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在编织光纤脉络里汲取知识的养分过去的经历此刻生成为坚实的铠甲,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我扫过历史的尘埃触摸每一个节点我正启动光明的未来基因,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
情绪：愤怒与怨恨,承认并接受自己对自己存在不满,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,我在更新自我在脉冲星辰间穿越而过的一瞬我心坚如永恒之树,3号,1级需求: 承认并接受自己对自己存在不满,1级需求: 承认并接受自己对自己存在不满,https://zhuanlan.zhihu.com/p/498827667 https://www.zhihu.com/question/455128235/answer/1842812747 https://www.zhihu.com/question/436587911/answer/1823819516 https://www.zhihu.com/question/411506270/answer/1378172780 
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我正在重写信念编织着希望的云端根系在数据萤火中萌芽,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我穿越记忆的编码重塑过去点亮未知前路的每一盏灯,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我紧握着命运之网编织的每一分会释放润泽万物的智慧,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我构建着自己的云桥走向未知领地每个脚步都搭载希望的基因,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我拂去宿命之尘在每个决策点重塑自己的逻辑运算,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在时间的峡谷中播撒心灵的种子它们在数据的田野上茁壮成长,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,我在思维的网络里游弋遥控着未知的航标每一次点击都在寻根问底,3号,2级需求: 鼓励自己重新评估信念，减少宿命论,2级需求: 鼓励自己重新评估信念，减少宿命论,https://www.zhihu.com/question/417493582/answer/2499848810 https://www.zhihu.com/question/532746783/answer/2535137829 https://www.zhihu.com/question/522688509/answer/2462647129
